DIA,FECHA,AMS(TON,%),MECANIZADOS(TON,%),TOTAL_AYUNTAMIENTO(TON,%),COMLURSA(TON,%),URBALUZ(TON,%),TOTAL_PRIVADAS(TON,%),TOTAL_GENERAL(TON)
M,01/JUNIO/2021,100.46% 11.62%,3.37% 0.39%,103.83% 12.01%,325.48% 37.64%,435.42% 5035%,760.90% 87.99%,864.73
M1,02/JUNIO/2021,106.79% 12.63%,1.56% 0.18%,108.35% 12.61%,343.65% 40.64%,393.68% 465%,737.33% 87.19%,845.68
J,03/JUNIO/2021,52.67% 7.30%,. 0.00%,52.67% 7.30%,346.74% 48.03%,322.47% 446.7%,669.21% 92.70%,721.88
V,04/JUNIO/2021,69.06% 8.94%,3.82% 0.49%,72.68% 9.44%,316.21% 40.95%,363.10% 4961%,699.34% 90.56%,772.22
S,05/JUNIO/2021,81.99% 11.33%,2.12% 0.29%,84.11% 11.62%,304.83% 42.13%,334.63% 3625%,639.46% 88.38%,723.57
D,06/JUNIO/2021,45.50% 17.27%,. 0.00%,45.50% 17.27%,110.29% 41.86%,107.72% 4088%,218.01% 82.73%,263.51
L,07/JUNIO/2021,66.14% 8.31%,4.41% 0.54%,72.55% 8.85%,326.99% 39.88%,420.30% 5127%,747.29% 91.15%,819.84
M,08/JUNIO/2021,81.82% 9.40%,5.34% 0.61%,87.16% 10.01%,347.63% 39.92%,436.01% 5207%,783.64% 89.99%,870.80
MI,09/JUNIO/2021,59.66% 7.91%,1.75% 0.23%,61.41% 8.14%,294.24% 39.00%,398.82% 5286%,693.06% 89.86%,754.47
J,10/JUNIO/2021,76.52% 10.00%,. 0.00%,76.52% 10.00%,314.69% 41.12%,374.14% 5888%,668.83% 90.00%,763.35
V,11/JUNIO/2021,68.81% 9.14%,1.43% 0.20%,70.24% 9.56%,272.69% 37.43%,385.64% 5293%,658.33% 90.36%,728.57
S,12/JUNIO/2021,73.71% 11.21%,3.81% 0.58%,77.52% 11.79%,273.27% 41.55%,306.96% 4667%,580.23% 88.21%,657.75
D,13/JUNIO/2021,43.35% 16.86%,. 0.00%,43.35% 16.86%,130.63% 50.81%,53.12% 3233%,213.75% 83.14%,257.10
L,14/JUNIO/2021,92.36% 11.63%,4.47% 0.56%,96.83% 12.19%,278.85% 35.12%,481.34% 5226%,697.19% 87.81%,794.02
M,15/JUNIO/2021,87.93% 10.06%,5.18% 0.59%,93.11% 10.65%,332.22% 37.99%,449.08% 5136%,781.30% 89.35%,874.41
MI,16/JUNIO/2021,68.04% 8.57%,1.21% 0.15%,69.25% 8.73%,302.74% 38.15%,421.55% 5312%,724.29% 91.27%,793.54
J,17/JUNIO/2021,55.00% 8.00%,2.38% 0.35%,57.38% 8.34%,271.92% 39.54%,358.34% 5211%,630.26% 91.66%,687.64
V,18/JUNIO/2021,70.03% 8.46%,1.54% 0.19%,71.57% 8.65%,364.22% 40.41%,391.83% 4734%,756.05% 91.35%,827.62
S,19/JUNIO/2021,68.27% 9.45%,4.30% 0.60%,72.57% 10.04%,318.69% 41.10%,331.39% 4556%,650.07% 89.96%,722.61
D,20/JUNIO/2021,38.70% 12.77%,2.56% 0.85%,41.26% 13.63%,134.88% 44.52%,126.61% 4186%,261.69% 86.37%,302.97
L,21/JUNIO/2021,45.73% 12.72%,4.31% 0.54%,50.04% 6.26%,357.91% 44.79%,391.28% 4896%,749.19% 93.74%,790.23
M,22/JUNIO/2021,55.63% 5.76%,. 0.00%,55.63% 6.86%,310.51% 38.30%,444.35% 5484%,755.06% 93.14%,810.69
MI,23/JUNIO/2021,69.27% 8.61%,. 0.00%,69.27% 8.61%,285.56% 35.50%,449.36% 5599%,735.12% 93.19%,804.39
J,24/JUNIO/2021,53.21% 6.86%,. 0.00%,53.21% 6.86%,330.37% 42.58%,392.27% 5056%,722.64% 93.14%,775.85
V,25/JUNIO/2021,41.66% 5.56%,4.91% 0.66%,46.57% 6.24%,312.96% 41.93%,386.59% 5121%,699.45% 93.76%,746.02
S,26/JUNIO/2021,68.64% 9.59%,2.75% 0.38%,71.39% 9.98%,309.16% 43.21%,334.92% 4641%,644.08% 90.02%,715.37
D,27/JUNIO/2021,45.60% 13.66%,3.57% 1.07%,49.17% 14.72%,128.10% 38.36%,156.66% 4691%,284.76% 85.28%,333.93
L,28/JUNIO/2021,37.69% 5.20%,3.18% 0.44%,40.87% 5.64%,298.39% 38.20%,384.99% 5316%,683.38% 94.36%,724.25
M,29/JUNIO/2021,64.74% 8.17%,4.35% 0.55%,69.09% 8.72%,289.75% 36.57%,433.46% 5471%,723.21% 91.28%,792.30
MI,30/JUNIO/2021,49.83% 6.29%,3.28% 0.41%,53.11% 6.70%,321.45% 40.56%,418.00% 5274%,739.45% 93.30%,792.56
