DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
L,01/MAYO/2023,39.00,6.75%,,0.00%,39.00,6.75%,248.53,42.99%,290.52,50.26%,539.05,93.25%,578.05
M,02/MAYO/2023,57.26,8.49%,,0.00%,57.26,8.10%,268.71,39.43%,355.60,52.17%,624.31,91.60%,681.57
MI,03/MAYO/2023,71.49,9.54%,,0.00%,71.49,9.54%,306.34,42.65%,339.29,47.18%,645.63,89.86%,719.12
J,04/MAYO/2023,103.19,13.38%,,0.00%,103.19,13.38%,311.97,40.45%,356.18,46.18%,668.15,86.62%,771.34
V,05/MAYO/2023,62.65,8.71%,,0.00%,62.65,8.71%,279.83,38.89%,377.13,52.41%,656.96,91.29%,719.61
S,06/MAYO/2023,102.46,14.81%,,0.00%,102.46,14.81%,287.25,41.53%,302.02,43.66%,589.27,85.19%,691.73
D,07/MAYO/2023,47.15,21.89%,,0.00%,47.15,21.89%,61.57,28.55%,106.72,49.54%,168.29,78.11%,215.44
L,08/MAYO/2023,66.47,8.49%,,0.00%,66.47,8.49%,304.86,38.94%,411.50,52.57%,716.36,91.51%,782.83
M,09/MAYO/2023,56.88,7.68%,,0.00%,56.88,7.68%,298.63,40.35%,384.65,51.97%,683.28,92.32%,740.16
MI,10/MAYO/2023,85.67,11.79%,,0.00%,85.67,11.79%,278.70,38.35%,362.28,49.86%,640.98,88.21%,726.65
J,11/MAYO/2023,88.35,13.65%,,0.00%,88.35,13.65%,278.70,38.35%,362.28,49.86%,640.98,88.21%,726.65
V,12/MAYO/2023,76.93,11.01%,,0.00%,76.93,11.01%,263.34,36.53%,359.20,49.83%,622.54,86.35%,720.92
S,13/MAYO/2023,46.88,7.35%,,0.00%,46.88,7.35%,268.30,37.43%,369.52,51.55%,637.82,88.99%,716.75
D,14/MAYO/2023,38.00,16.18%,,0.00%,38.00,16.18%,78.50,33.41%,118.35,50.41%,196.85,83.82%,334.85
L,15/MAYO/2023,63.23,7.87%,,0.00%,63.23,7.87%,287.63,36.35%,440.68,55.74%,728.31,92.13%,790.54
M,16/MAYO/2023,91.29,10.72%,,0.00%,91.29,10.72%,323.51,37.94%,436.90,51.30%,760.41,89.28%,851.70
MI,17/MAYO/2023,102.53,12.31%,,0.00%,102.53,12.31%,332.27,39.81%,398.37,47.81%,730.64,87.69%,833.17
J,18/MAYO/2023,78.79,10.17%,,0.00%,78.79,10.17%,299.91,38.71%,395.78,51.10%,695.69,89.83%,774.48
V,19/MAYO/2023,74.99,9.04%,,0.00%,74.99,9.04%,306.12,36.91%,398.13,48.13%,704.25,84.96%,829.21
S,20/MAYO/2023,52.54,7.49%,,0.00%,52.54,7.49%,295.98,44.53%,316.14,47.56%,612.12,92.10%,664.66
D,21/MAYO/2023,43.87,17.52%,,0.00%,43.87,17.52%,112.50,45.03%,318.14,47.56%,430.64,72.10%,250.38
L,22/MAYO/2023,78.37,8.60%,,0.00%,78.37,8.60%,364.26,39.97%,468.77,51.43%,833.03,91.40%,911.40
M,23/MAYO/2023,88.29,10.16%,,0.00%,88.29,10.16%,330.07,38.04%,450.22,51.83%,780.29,89.84%,868.58
MI,24/MAYO/2023,63.40,7.88%,,0.00%,63.40,7.88%,307.76,38.11%,430.35,53.34%,738.11,91.44%,807.51
J,25/MAYO/2023,112.61,13.48%,,0.00%,112.61,13.48%,324.12,38.75%,399.85,47.78%,723.97,86.52%,836.58
V,26/MAYO/2023,82.12,10.39%,,0.00%,82.12,10.39%,301.76,38.16%,405.08,51.31%,706.84,89.47%,790.46
S,27/MAYO/2023,61.20,9.53%,,0.00%,61.20,9.53%,294.95,45.94%,255.87,39.83%,550.82,85.78%,642.02
D,28/MAYO/2023,30.45,15.93%,,0.00%,30.45,15.93%,52.78,31.27%,100.97,59.81%,160.75,84.07%,191.20
L,29/MAYO/2023,89.69,10.75%,,0.00%,89.69,10.75%,329.81,39.78%,410.22,49.48%,740.03,89.25%,829.12
M,30/MAYO/2023,85.12,10.49%,,0.00%,85.12,10.49%,303.12,37.37%,422.86,52.13%,725.98,89.51%,811.10
V,31/MAYO/2023,60.99,7.97%,,0.00%,60.99,7.97%,262.73,34.33%,441.48,57.69%,704.21,92.03%,765.20
