DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
D,01/OCTUBRE/2023,39.77,20.38%,,0.00%,39.77,20.38%,57.69,29.56%,97.72,50.07%,155.41,79.62%,195.18
L,02/OCTUBRE/2023,43.56,6.17%,,0.00%,43.56,6.17%,290.35,41.11%,372.29,52.72%,662.64,93.83%,706.20
M,03/OCTUBRE/2023,59.42,8.38%,,0.00%,59.42,8.38%,292.30,41.22%,357.45,50.40%,649.75,91.62%,709.17
MI,04/OCTUBRE/2023,43.49,6.88%,,0.00%,43.49,6.88%,242.56,38.36%,346.24,54.76%,588.80,93.12%,632.29
J,05/OCTUBRE/2023,53.26,7.83%,,0.00%,53.26,7.83%,259.52,38.14%,367.72,54.04%,627.24,92.17%,680.50
V,06/OCTUBRE/2023,28.05,3.99%,2.18,0.31%,30.23,4.30%,291.19,41.42%,381.58,54.28%,672.77,95.70%,703.00
S,07/OCTUBRE/2023,48.59,7.55%,,0.00%,48.59,7.55%,249.88,38.85%,344.74,53.60%,594.62,92.45%,643.21
D,08/OCTUBRE/2023,30.42,13.85%,,0.00%,30.42,13.85%,48.47,22.07%,140.77,64.09%,189.24,86.15%,219.66
L,09/OCTUBRE/2023,55.16,7.86%,,0.00%,55.16,7.86%,275.37,39.25%,371.10,52.89%,646.47,92.14%,701.63
M,10/OCTUBRE/2023,37.20,5.23%,6.03,0.85%,43.23,6.07%,285.42,40.09%,383.28,53.84%,668.70,93.93%,711.93
MI,11/OCTUBRE/2023,50.13,7.37%,,0.00%,50.13,7.37%,266.61,39.21%,363.26,53.42%,629.87,92.63%,680.00
J,12/OCTUBRE/2023,33.80,4.82%,2.94,0.42%,36.74,5.24%,297.16,42.34%,367.89,52.42%,665.05,94.76%,701.79
V,13/OCTUBRE/2023,38.62,5.69%,,0.00%,38.62,5.69%,274.29,40.43%,365.53,53.88%,639.82,94.31%,678.44
S,14/OCTUBRE/2023,35.82,6.12%,3.33,0.57%,39.15,6.69%,253.64,43.36%,292.14,49.94%,545.78,93.31%,584.93
D,15/OCTUBRE/2023,24.14,13.13%,,0.00%,24.14,13.13%,58.56,31.85%,101.18,55.03%,159.74,86.87%,183.88
L,16/OCTUBRE/2023,41.76,5.92%,1.00,0.14%,42.76,6.06%,299.66,42.48%,362.95,51.46%,662.61,93.94%,705.37
M,17/OCTUBRE/2023,46.88,6.48%,,0.00%,46.88,6.48%,275.86,38.15%,400.30,55.36%,676.16,93.52%,723.04
MI,18/OCTUBRE/2023,39.58,5.52%,,0.00%,39.58,5.52%,285.64,39.84%,391.69,54.64%,677.33,94.48%,716.91
J,19/OCTUBRE/2023,43.71,5.79%,,0.00%,39.58,5.79%,276.02,40.37%,368.11,53.84%,644.13,94.21%,683.71
V,20/OCTUBRE/2023,37.85,6.21%,,0.00%,43.71,6.21%,279.33,39.69%,380.71,54.10%,660.04,93.79%,703.75
S,21/OCTUBRE/2023,51.78,8.44%,,0.00%,51.78,8.44%,243.03,39.60%,318.92,51.96%,561.95,91.56%,613.73
D,22/OCTUBRE/2023,21.85,16.21%,,0.00%,21.85,16.21%,54.19,40.21%,58.72,43.57%,112.91,83.79%,134.76
L,23/OCTUBRE/2023,44.45,5.63%,,0.00%,44.45,5.63%,323.57,40.96%,421.87,53.41%,745.44,94.37%,789.89
M,24/OCTUBRE/2023,56.02,7.73%,,0.00%,59.63,7.73%,281.22,36.47%,430.19,55.79%,711.41,92.27%,771.04
MI,25/OCTUBRE/2023,51.37,7.05%,,0.00%,51.37,7.05%,273.90,37.59%,403.38,55.36%,677.28,92.95%,728.65
J,26/OCTUBRE/2023,39.44,5.85%,,0.00%,39.44,5.85%,267.94,39.73%,367.07,54.43%,635.01,94.15%,674.45
V,27/OCTUBRE/2023,33.74,4.81%,,0.00%,33.74,4.81%,290.51,41.42%,377.08,53.77%,667.59,95.19%,701.33
S,28/OCTUBRE/2023,52.70,8.14%,,0.00%,52.70,8.14%,256.36,39.58%,338.69,52.29%,595.05,91.86%,647.75
D,29/OCTUBRE/2023,26.11,15.89%,,0.00%,26.11,15.89%,44.68,27.20%,93.49,56.91%,138.17,84.11%,164.28
L,30/OCTUBRE/2023,57.77,7.63%,,0.00%,57.77,7.63%,288.33,38.08%,411.16,54.30%,699.49,92.37%,757.26
V,31/OCTUBRE/2023,30.31,3.99%,,0.00%,30.31,3.99%,301.89,39.76%,427.16,56.25%,729.05,96.01%,759.36
