DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,CONWASTE DOMINICANA TON,CONWASTE DOMINICANA %,URBALUZ TON,URBALUZ %,COMLURSA TON,COMLURSA %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
D,01/DICIEMBRE/2019,83.60,28.46%,-,0.00%,83.60,28.46%,41.41,14.10%,92.61,31.52%,76.15,25.92%,210.17,71.54%,293.77
L,02/DICIEMBRE/2019,94.02,10.74%,10.89,1.24%,104.91,11.98%,261.81,29.90%,360.52,41.17%,148.39,16.95%,770.72,88.02%,875.63
M,03/DICIEMBRE/2019,106.08,13.69%,13.59,1.75%,119.67,15.45%,186.63,24.09%,319.91,41.29%,148.49,19.17%,655.03,84.55%,774.70
MI,04/DICIEMBRE/2019,83.42,10.46%,3.16,0.40%,86.58,10.86%,255.36,32.03%,315.45,39.57%,139.88,17.54%,710.69,89.14%,797.27
J,05/DICIEMBRE/2019,115.08,13.85%,7.64,0.92%,122.72,14.77%,215.64,25.95%,320.35,38.55%,172.26,20.73%,708.25,85.23%,830.97
V,06/DICIEMBRE/2019,94.34,12.00%,7.29,0.93%,101.63,12.93%,230.19,29.29%,306.56,39.01%,147.53,18.77%,684.28,87.07%,785.91
S,07/DICIEMBRE/2019,90.99,13.06%,3.83,0.55%,94.82,13.61%,196.99,28.28%,260.55,37.40%,144.33,20.72%,601.87,86.39%,696.69
D,08/DICIEMBRE/2019,75.39,27.67%,1.35,0.50%,76.74,28.16%,40.90,15.01%,89.80,32.96%,65.04,23.87%,195.74,71.84%,272.48
L,09/DICIEMBRE/2019,101.52,11.19%,6.29,0.69%,107.81,11.89%,272.89,30.09%,372.58,41.08%,153.69,16.95%,799.16,88.11%,906.97
M,10/DICIEMBRE/2019,124.94,13.74%,6.75,0.74%,131.69,14.48%,248.42,27.32%,359.59,39.55%,169.55,18.65%,777.56,85.52%,909.25
MI,11/DICIEMBRE/2019,111.10,12.83%,10.57,1.22%,121.67,14.05%,231.75,26.76%,339.63,39.21%,173.11,19.99%,744.49,85.95%,866.16
J,12/DICIEMBRE/2019,96.51,12.98%,4.21,0.57%,100.72,13.54%,208.57,28.04%,310.75,41.78%,123.76,16.64%,643.08,86.46%,743.80
V,13/DICIEMBRE/2019,100.67,12.26%,13.12,1.60%,113.79,13.86%,228.64,27.84%,290.11,35.33%,188.68,22.98%,707.43,86.14%,821.22
S,14/DICIEMBRE/2019,85.39,13.05%,7.71,1.18%,93.10,14.23%,193.39,29.55%,244.24,37.32%,123.66,18.90%,561.29,85.77%,654.39
D,15/DICIEMBRE/2019,36.30,13.29%,2.97,1.09%,39.27,14.38%,51.18,18.74%,99.32,36.36%,83.38,30.53%,233.88,85.62%,273.15
L,16/DICIEMBRE/2019,106.90,11.57%,11.20,1.21%,118.10,12.79%,283.26,30.67%,367.72,39.81%,154.64,16.74%,805.62,87.21%,923.72
M,17/DICIEMBRE/2019,110.93,12.23%,15.91,1.75%,126.84,13.98%,242.46,26.73%,356.85,39.33%,181.09,19.96%,780.40,86.02%,907.24
MI,18/DICIEMBRE/2019,104.59,11.85%,24.70,2.80%,129.29,14.65%,252.73,28.63%,329.07,37.28%,171.70,19.45%,753.50,85.35%,882.79
J,19/DICIEMBRE/2019,106.37,12.46%,15.36,1.80%,121.73,14.25%,214.37,25.10%,343.43,40.22%,174.44,20.43%,732.24,85.75%,853.97
V,20/DICIEMBRE/2019,77.47,9.23%,5.40,0.64%,82.87,9.87%,245.13,29.20%,323.98,38.60%,187.43,22.33%,756.54,90.13%,839.41
S,21/DICIEMBRE/2019,88.76,11.90%,5.79,0.78%,94.55,12.68%,218.89,29.34%,279.80,37.51%,152.69,20.47%,651.38,87.32%,745.93
D,22/DICIEMBRE/2019,90.24,25.91%,12.85,3.69%,103.09,29.60%,46.01,13.21%,92.70,26.61%,106.51,30.58%,245.22,70.40%,348.31
L,23/DICIEMBRE/2019,104.42,10.64%,29.16,2.97%,133.58,13.61%,273.16,27.83%,395.31,40.27%,179.55,18.29%,848.02,86.39%,981.60
M,24/DICIEMBRE/2019,95.61,11.97%,13.95,1.75%,109.56,13.72%,201.68,25.26%,343.57,43.03%,143.72,18.00%,688.97,86.28%,798.53
