DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
S,01/JULIO/2023,69.00,10.08%,,0.00%,69.00,10.08%,293.60,42.88%,322.17,47.05%,615.77,89.92%,684.77
D,02/JULIO/2023,49.51,22.80%,,0.00%,49.51,22.80%,56.88,26.20%,110.75,51.00%,167.63,77.20%,217.14
L,03/JULIO/2023,53.05,7.00%,,0.00%,53.05,7.00%,326.64,43.07%,378.64,49.93%,705.28,93.00%,758.33
M,04/JULIO/2023,75.06,9.24%,,0.00%,75.06,9.24%,324.10,39.88%,413.47,50.88%,737.57,90.76%,812.63
MI,05/JULIO/2023,65.11,8.14%,,0.00%,65.11,8.14%,308.56,38.60%,425.78,53.26%,734.34,91.86%,799.45
J,06/JULIO/2023,65.58,8.39%,,0.00%,65.58,8.39%,312.27,39.95%,403.84,51.66%,716.11,91.61%,781.69
V,07/JULIO/2023,53.84,7.57%,,0.00%,53.84,7.57%,260.61,36.65%,396.57,55.77%,657.18,92.43%,711.02
S,08/JULIO/2023,58.09,8.84%,,0.00%,58.09,8.84%,273.70,41.63%,325.61,49.53%,599.31,91.16%,657.40
D,09/JULIO/2023,41.24,20.59%,,0.00%,41.24,20.59%,61.73,30.82%,97.35,48.60%,159.08,79.41%,200.32
L,10/JULIO/2023,78.17,9.64%,,0.00%,78.17,9.64%,313.42,38.66%,419.18,51.70%,732.60,90.36%,810.77
M,11/JULIO/2023,64.76,8.27%,,0.00%,64.76,8.27%,304.48,38.88%,413.93,52.85%,718.41,91.73%,783.17
MI,12/JULIO/2023,56.42,7.54%,,0.00%,56.42,7.54%,299.28,40.01%,392.28,52.45%,691.56,92.46%,747.98
J,13/JULIO/2023,58.16,8.03%,,0.00%,58.16,8.03%,296.11,40.89%,369.88,51.08%,665.99,91.97%,724.15
V,14/JULIO/2023,66.66,8.76%,,0.00%,66.66,8.76%,296.21,38.94%,397.72,52.29%,693.93,91.24%,760.59
S,15/JULIO/2023,55.59,8.48%,,0.00%,55.59,8.48%,269.26,41.06%,331.00,50.47%,600.26,91.52%,655.85
D,16/JULIO/2023,46.57,23.06%,,0.00%,46.57,23.06%,35.54,17.59%,119.88,59.35%,155.42,76.94%,201.99
L,17/JULIO/2023,68.05,8.76%,,0.00%,68.05,8.76%,305.27,39.28%,403.85,51.96%,709.12,91.24%,777.17
M,18/JULIO/2023,66.47,8.26%,,0.00%,66.47,8.26%,302.22,37.54%,436.37,54.20%,738.59,91.74%,805.06
MI,19/JULIO/2023,74.90,9.73%,,0.00%,74.90,9.73%,302.92,39.34%,392.22,50.94%,695.14,90.27%,770.04
J,20/JULIO/2023,72.94,9.50%,,0.00%,72.94,9.50%,316.31,41.19%,378.71,49.31%,695.02,90.50%,767.96
V,21/JULIO/2023,69.34,8.81%,,0.00%,69.34,8.81%,280.43,35.64%,436.99,55.54%,717.42,91.19%,786.76
S,22/JULIO/2023,62.54,9.04%,,0.00%,62.54,9.04%,297.38,43.01%,331.58,47.95%,628.96,90.96%,691.50
D,23/JULIO/2023,45.16,23.63%,,0.00%,45.16,23.63%,60.02,31.40%,85.95,44.97%,145.97,76.37%,191.13
L,24/JULIO/2023,71.13,9.21%,,0.00%,71.13,9.21%,286.00,37.05%,414.89,53.74%,700.89,90.79%,772.02
M,25/JULIO/2023,67.12,8.09%,,0.00%,67.12,8.09%,332.98,40.14%,429.41,51.77%,762.39,91.91%,829.51
MI,26/JULIO/2023,58.30,7.71%,,0.00%,58.30,7.71%,278.99,36.91%,418.53,55.37%,697.52,92.29%,755.82
J,27/JULIO/2023,70.29,8.54%,,0.00%,70.29,8.54%,322.32,39.15%,430.66,52.31%,752.98,91.46%,823.27
V,28/JULIO/2023,36.48,5.20%,,0.00%,36.48,5.20%,263.61,37.57%,401.56,57.23%,665.17,94.80%,701.65
S,29/JULIO/2023,67.11,9.02%,,0.00%,67.11,9.02%,307.62,41.33%,369.65,49.66%,677.27,90.98%,744.38
D,30/JULIO/2023,45.53,20.89%,,0.00%,45.53,20.89%,64.85,29.75%,107.62,49.37%,172.47,79.11%,218.00
V,31/JULIO/2023,54.60,7.16%,,0.00%,54.60,7.16%,297.48,38.99%,410.96,53.86%,708.44,92.84%,763.04
