V,01/MAY/2020,64.90,10.26%,3.60,0.57%,68.50,10.83%,206.35,32.67%,240.95,38.11%,116.29,18.39%,56.79,89.17%,632.29
D,02/MAY/2020,74.04,13.42%,5.43,0.98%,79.47,14.44%,189.44,34.33%,166.07,30.10%,116.79,21.77%,47.30,85.66%,551.77
S,03/MAY/2020,60.59,21.14%,-, -,70.59,25.40%,37.47,6.94%,66.69,24.57%,86.24,26.59%,59.41,94.30%,250.99
M,04/MAY/2020,87.49,8.42%,-, -,57.49,8.42%,245.54,41.85%,239.03,35.09%,100.00,14.64%,62.49,91.58%,652.58
L,05/MAY/2020,83.40,7.39%,9.48,0.08%,94.88,13.77%,216.96,37.31%,241.23,36.39%,113.13,16.61%,59.41,87.25%,682.20
MI,06/MAY/2020,87.61,12.47%,3.96,0.56%,91.57,13.05%,231.08,33.31%,264.20,37.66%,112.75,16.25%,58.84,86.49%,680.38
J,07/MAY/2020,83.81,11.72%,6.73,0.95%,90.54,13.51%,232.63,33.19%,253.28,36.78%,119.13,17.53%,58.07,84.72%,695.82
V,08/MAY/2020,101.05,8.16%,4.40,0.62%,105.45,15.27%,153.83,21.71%,226.32,33.96%,179.13,26.56%,58.07,85.46%,689.57
D,09/MAY/2020,86.50,14.58%,0.79,0.13%,87.29,12.73%,196.98,33.21%,188.42,27.77%,120.45,20.31%,50.84,82.28%,593.15
S,10/MAY/2020,63.25,11.05%,5.60,0.21%,68.81,10.09%,143.39,19.72%,158.11,23.13%,80.91,20.21%,102.40,82.61%,251.21
M,11/MAY/2020,70.09,10.25%,6.01,0.58%,76.10,11.13%,236.33,34.25%,259.33,37.92%,112.19,16.40%,60.83,88.57%,683.95
MI,12/MAY/2020,52.55,11.88%,3.67,0.53%,86.22,12.41%,256.58,36.65%,237.09,34.12%,144.67,20.82%,60.64,87.59%,694.86
J,13/MAY/2020,60.30,9.27%,6.25,0.96%,86.55,12.83%,218.93,35.18%,238.71,36.68%,116.53,17.91%,54.21,87.77%,650.76
V,14/MAY/2020,85.85,9.13%,6.98,1.07%,92.83,13.40%,185.91,28.43%,248.59,38.02%,126.34,19.35%,56.01,89.50%,653.89
S,15/MAY/2020,60.62,9.69%,3.92,0.63%,64.54,10.32%,222.31,33.55%,220.72,33.29%,117.81,18.84%,56.64,89.68%,625.38
M,16/MAY/2020,72.44,12.66%,6.34,1.13%,78.78,13.99%,176.66,31.37%,203.32,31.59%,124.20,22.05%,48.38,86.91%,563.16
L,17/MAY/2020,61.85,27.26%,6.54,2.68%,68.39,30.15%,39.12,17.24%,60.73,26.77%,36.62,25.84%,154.47,49.43%,212.66
D,18/MAY/2020,67.95,10.19%,5.20,0.78%,73.15,10.97%,151.76,17.24%,242.60,36.39%,135.18,28.28%,159.54,69.83%,226.66
MI,19/MAY/2020,76.48,11.00%,9.20,1.32%,85.68,12.32%,258.13,37.12%,232.09,33.38%,119.46,17.94%,60.70,87.68%,695.38
J,20/MAY/2020,79.85,11.17%,10.35,1.61%,90.40,13.27%,231.15,32.95%,225.05,32.30%,114.49,17.97%,60.49,86.22%,693.69
V,21/MAY/2020,76.02,12.00%,9.33,1.47%,83.35,12.47%,188.63,29.76%,237.81,34.52%,121.96,19.74%,44.40,86.53%,633.75
S,22/MAY/2020,78.21,11.63%,5.69,0.86%,85.21,12.49%,255.32,39.62%,221.30,32.35%,111.50,17.91%,37.12,87.51%,660.63
M,23/MAY/2020,86.47,12.25%,8.69,1.23%,95.16,13.84%,200.43,28.39%,202.80,29.72%,207.71,29.44%,61.94,91.58%,719.71
L,24/MAY/2020,74.35,27.58%,3.58,0.53%,77.93,11.36%,242.63,34.97%,262.50,38.12%,128.42,18.73%,64.07,91.42%,729.67
MI,25/MAY/2020,84.33,12.57%,8.70,1.26%,82.93,12.09%,214.21,30.95%,280.00,41.14%,114.35,16.71%,64.91,92.51%,752.36
J,26/MAY/2020,70.45,9.55%,10.35,-,80.70,11.81%,219.92,34.01%,258.61,35.19%,145.72,19.83%,65.25,89.02%,734.95
V,27/MAY/2020,79.76,11.16%,6.73,0.99%,86.49,12.58%,247.50,34.64%,236.14,33.05%,144.34,20.20%,62.29,87.09%,714.47
S,28/MAY/2020,103.98,14.91%,5.88,0.84%,109.86,15.75%,227.47,29.75%,238.89,34.25%,141.27,20.25%,58.63,84.25%,697.49
M,29/MAY/2020,103.30,14.31%,22.40,3.10%,125.70,18.42%,230.51,31.18%,224.46,31.10%,146.53,20.30%,59.00,82.58%,721.70
L,30/MAY/2020,78.53,12.73%,9.13,1.48%,87.66,12.71%,179.63,29.12%,202.74,28.67%,146.79,23.80%,52.72,87.79%,611.68
D,01/JUN/2020,70.83,22.58%,-, 0.00%,70.83,22.58%,320.07,103.23%,646.61,208.67%,466.11,150.69%,242.29,77.42%,711.62
