Dia,Fecha,Ayuntamiento,Mec_A,Mec_B,Mec_C,Mec_D,Com_A,Com_B,Com_C,Com_D,Con_A,Con_B,Con_C,Con_D,Total_General
J,01MARZO2018,99.69,13.47,6.98,0.94,106.67,14.41,189.11,25.55,295.57,46.66,148.8,20.1,633.48,85.59
V,02MARZO2018,100.45,14.09,5.51,0.77,105.96,14.87,212.47,29.81,242.43,39.95,151.95,21.32,606.85,85.13
S,03MARZO2018,65.98,11.39,4.57,0.79,70.55,12.18,175.25,30.25,201.23,39.55,132.29,22.84,508.77,87.82
D,04MARZO2018,51.14,23.88,1.01,0.47,52.15,24.35,35.66,16.65,69.36,42.83,56.93,26.58,161.95,75.64
L,05MARZO2018,120.52,14.3,8.42,1.0,128.94,15.3,241.04,28.59,317.28,44.44,155.69,18.47,714.01,84.7
M,06MARZO2018,101.75,12.5,5.14,0.63,106.89,13.13,223.74,27.49,325.98,46.11,157.3,19.33,707.02,86.87
MI,07MARZO2018,108.06,14.1,7.02,0.92,115.08,15.01,224.51,29.29,284.22,43.63,142.71,18.62,651.44,84.99
J,08MARZO2018,98.52,13.98,9.9,1.4,108.42,15.38,201.32,28.56,284.96,47.77,110.27,15.64,596.55,84.62
V,09MARZO2018,96.12,12.68,8.45,1.11,104.57,13.79,214.55,28.3,271.03,41.59,167.19,22.05,653.57,86.21
S,10MARZO2018,107.12,16.39,4.82,0.74,111.94,17.13,189.91,29.06,218.68,40.38,132.99,20.35,541.58,82.87
D,11MARZO2018,54.33,24.16,5.48,2.44,59.81,26.6,40.16,17.86,67.59,40.95,57.32,25.49,165.07,73.4
L,12MARZO2018,109.52,11.66,7.17,0.76,116.69,12.43,292.69,31.17,366.78,44.61,162.73,17.33,822.2,87.57
M,13MARZO2018,112.73,12.28,7.42,0.81,120.15,13.09,268.52,29.25,350.39,43.91,179.06,19.5,797.97,86.91
MI,14MARZO2018,109.23,13.56,6.95,0.86,116.18,14.42,223.85,27.78,305.84,44.36,159.81,19.84,689.5,85.58
J,15MARZO2018,111.77,14.09,6.93,0.87,118.7,14.97,200.65,25.3,320.78,47.57,152.89,19.28,674.32,85.03
V,16MARZO2018,103.58,14.25,7.23,0.99,110.81,15.24,217.86,29.97,255.88,41.53,142.33,19.58,616.07,84.76
S,17MARZO2018,74.58,11.76,6.76,1.07,81.34,12.82,201.76,31.81,227.34,41.11,123.91,19.53,553.01,87.18
D,18MARZO2018,28.47,13.82,6.97,3.38,35.44,17.21,39.38,19.12,63.75,37.39,67.39,32.72,170.52,82.79
L,19MARZO2018,163.13,17.77,10.0,1.09,173.13,18.86,269.68,29.37,333.19,44.72,142.14,15.48,745.01,81.14
M,20MARZO2018,105.81,12.79,7.03,0.85,112.84,13.64,232.6,28.12,327.91,45.9,153.88,18.6,714.39,86.36
MI,21MARZO2018,92.89,12.01,7.27,0.94,100.16,12.95,217.7,28.14,305.43,45.3,150.23,19.42,673.36,87.05
J,22MARZO2018,95.92,12.99,6.02,0.82,101.94,13.81,196.19,26.57,298.0,46.82,142.23,19.26,636.42,86.19
V,23MARZO2018,90.09,12.15,7.98,1.08,98.07,13.22,237.1,31.97,263.59,40.95,142.96,19.27,643.65,86.78
S,24MARZO2018,68.99,11.46,4.98,0.83,73.97,12.28,194.6,32.31,180.53,34.17,153.13,25.43,528.26,87.72
D,25MARZO2018,53.77,22.48,7.08,3.05,60.85,25.72,40.36,17.31,63.21,35.97,71.55,30.24,175.12,74.28
L,26MARZO2018,144.55,15.84,11.15,1.22,155.7,17.06,282.34,30.94,336.58,44.48,137.85,15.11,756.77,82.94
M,27MARZO2018,126.33,14.61,4.8,0.56,131.13,15.17,239.16,27.67,328.75,44.83,165.39,19.13,733.3,84.83
MI,28MARZO2018,102.93,13.77,4.61,0.62,107.54,14.39,225.1,30.12,279.37,43.68,135.45,18.12,639.92,85.61
J,29MARZO2018,87.23,11.85,9.64,1.31,96.87,13.16,177.98,24.18,294.87,46.12,166.47,22.61,639.32,86.84
V,30MARZO2018,43.46,19.98,6.39,2.94,49.85,22.92,43.25,19.88,77.89,46.46,46.52,21.39,167.66,77.08
S,31MARZO2018,58.43,11.23,5.46,1.05,63.89,12.28,158.11,30.4,185.97,40.78,112.15,21.56,456.23,87.72
