DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,CONWASTE DOMINICANA TON,CONWASTE DOMINICANA %,URBALUZ TON,URBALUZ %,COMLURSA TON,COMLURSA %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
MI,01/MAYO/2019,108.77,12.81%,14.01,1.65%,122.78,14.47%,245.07,28.87%,322.31,37.97%,158.63,18.69%,726.01,85.53%,848.79
J,02/MAYO/2019,103.58,13.21%,21.71,2.77%,125.29,15.97%,190.01,24.22%,318.80,40.64%,150.28,19.16%,659.09,84.03%,784.38
V,03/MAYO/2019,94.86,12.80%,8.63,1.16%,103.49,13.97%,216.51,29.22%,285.27,38.50%,135.71,18.31%,637.49,86.03%,740.98
S,04/MAYO/2019,63.88,9.99%,7.12,1.11%,71.00,11.11%,189.64,29.67%,248.81,38.92%,129.79,20.30%,568.24,88.89%,639.24
D,05/MAYO/2019,64.83,22.52%,2.61,0.91%,67.44,23.42%,42.12,14.63%,104.99,36.47%,73.35,25.48%,220.46,76.58%,287.90
L,06/MAYO/2019,93.24,10.80%,29.25,3.39%,122.49,14.19%,276.16,31.99%,325.50,37.71%,139.11,16.11%,740.77,85.81%,863.26
M,07/MAYO/2019,92.45,11.43%,11.22,1.39%,103.67,12.81%,232.71,28.76%,327.67,40.50%,145.07,17.93%,705.45,87.19%,809.12
MI,08/MAYO/2019,89.81,11.81%,19.79,2.60%,109.60,14.41%,214.62,28.22%,293.25,38.55%,143.16,18.82%,651.03,85.59%,760.63
J,09/MAYO/2019,122.06,16.38%,16.50,2.21%,138.56,18.59%,167.91,22.53%,300.07,40.26%,138.70,18.61%,606.68,81.41%,745.24
V,10/MAYO/2019,81.48,10.99%,16.55,2.23%,98.03,13.23%,209.77,28.30%,274.22,37.00%,159.18,21.48%,643.17,86.77%,741.20
S,11/MAYO/2019,90.67,14.39%,24.92,3.95%,115.59,18.34%,178.64,28.35%,221.81,35.20%,114.16,18.11%,514.61,81.66%,630.20
D,12/MAYO/2019,67.35,24.89%,8.68,3.21%,76.03,28.10%,37.89,14.00%,81.29,30.04%,75.37,27.85%,194.55,71.90%,270.58
L,13/MAYO/2019,77.67,10.37%,18.62,2.49%,96.29,12.86%,195.39,26.09%,334.41,44.65%,122.79,16.40%,652.59,87.14%,748.88
M,14/MAYO/2019,92.83,10.38%,6.65,0.74%,99.48,11.13%,297.69,33.30%,334.66,37.43%,162.19,18.14%,794.54,88.87%,894.02
MI,15/MAYO/2019,77.41,10.72%,10.47,1.45%,87.88,12.17%,211.72,29.33%,296.16,41.02%,126.21,17.48%,634.09,87.83%,721.97
J,16/MAYO/2019,80.28,11.82%,15.47,2.28%,95.75,14.09%,177.54,26.14%,291.98,42.98%,114.03,16.79%,583.59,85.91%,679.34
V,17/MAYO/2019,103.92,13.45%,15.70,2.03%,119.62,15.48%,219.16,28.37%,283.35,36.68%,150.38,19.47%,652.89,84.52%,772.51
S,18/MAYO/2019,82.98,12.02%,5.97,0.86%,88.95,12.88%,202.36,29.31%,251.24,36.39%,147.94,21.43%,601.54,87.12%,690.49
D,19/MAYO/2019,84.65,27.67%,4.90,1.60%,89.55,29.27%,35.80,11.70%,104.11,34.03%,76.50,25.00%,216.41,70.73%,305.96
L,20/MAYO/2019,81.83,9.86%,9.63,1.16%,91.46,11.02%,282.88,34.08%,331.44,39.92%,124.38,14.98%,738.70,88.98%,830.16
M,21/MAYO/2019,131.92,15.20%,5.40,0.62%,137.32,15.83%,233.05,26.86%,324.67,37.42%,172.69,19.90%,730.41,84.17%,867.73
MI,22/MAYO/2019,97.20,12.02%,20.67,2.56%,117.87,14.58%,233.31,28.86%,300.43,37.17%,156.74,19.39%,690.48,85.42%,808.35
J,23/MAYO/2019,98.74,13.20%,16.74,2.24%,115.48,15.44%,186.50,24.93%,301.77,40.34%,144.32,19.29%,632.59,84.56%,748.07
V,24/MAYO/2019,86.76,12.82%,14.30,2.11%,101.06,14.93%,206.98,30.57%,266.46,39.36%,102.48,15.14%,575.92,85.07%,676.98
S,25/MAYO/2019,98.68,13.67%,19.48,2.70%,118.16,16.37%,198.00,27.44%,256.82,35.59%,148.65,20.60%,603.47,83.63%,721.63
D,26/MAYO/2019,51.95,20.28%,15.89,6.20%,67.84,26.48%,38.11,14.87%,91.60,35.75%,58.67,22.90%,188.38,73.52%,256.22
L,27/MAYO/2019,119.35,13.43%,24.38,2.74%,143.73,16.18%,268.03,30.16%,332.28,37.40%,144.52,16.26%,744.83,83.82%,888.56
M,28/MAYO/2019,96.04,11.88%,21.31,2.64%,117.35,14.52%,232.23,28.73%,320.71,39.68%,138.00,17.07%,690.94,85.48%,808.29
MI,29/MAYO/2019,96.24,11.81%,17.96,2.20%,114.20,14.02%,226.20,27.77%,306.24,37.59%,168.04,20.63%,700.48,85.98%,814.68
J,30/MAYO/2019,103.54,13.26%,17.53,2.25%,121.07,15.51%,188.75,24.18%,312.63,40.04%,158.26,20.27%,659.64,84.49%,780.71
V,31/MAYO/2019,100.95,12.95%,19.74,2.53%,120.69,15.48%,227.64,29.20%,299.70,38.44%,131.67,16.89%,659.01,84.52%,779.74
