DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,CONWASTE DOMINICANA TON,CONWASTE DOMINICANA %,URBALUZ TON,URBALUZ %,COMLURSA TON,COMLURSA %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
S,01/DICIEMBRE/2018,80.03,13.31%,8.35,1.39%,88.38,14.69%,159.01,26.44%,234.81,45.76%,119.29,19.83%,513.11,85.31%,601.49
D,02/DICIEMBRE/2018,11.00,4.62%,1.14,0.48%,12.14,5.10%,54.02,22.69%,105.27,46.60%,66.61,27.98%,225.90,94.90%,238.04
L,03/DICIEMBRE/2018,147.66,16.50%,16.58,1.85%,164.24,18.36%,260.80,29.15%,332.44,45.51%,137.21,15.34%,730.45,81.64%,894.69
M,04/DICIEMBRE/2018,122.25,14.89%,17.94,2.19%,140.19,17.07%,244.03,29.72%,303.68,44.60%,133.14,16.22%,680.85,82.93%,821.04
MI,05/DICIEMBRE/2018,116.55,15.45%,17.33,2.30%,133.88,17.75%,208.50,27.64%,294.47,47.46%,117.51,15.58%,620.48,82.25%,754.36
J,06/DICIEMBRE/2018,121.80,16.67%,11.79,1.61%,133.59,18.28%,171.62,23.49%,295.45,49.48%,130.00,17.79%,597.07,81.72%,730.66
V,07/DICIEMBRE/2018,123.94,16.79%,16.68,2.26%,140.62,19.05%,210.12,28.47%,271.56,45.46%,115.69,15.68%,597.37,80.95%,737.99
S,08/DICIEMBRE/2018,77.43,11.86%,23.84,3.65%,101.27,15.51%,188.66,28.90%,231.93,42.05%,130.94,20.06%,551.53,84.49%,652.80
D,09/DICIEMBRE/2018,65.08,22.83%,15.68,5.50%,80.76,28.33%,36.83,12.92%,102.96,50.40%,64.48,22.62%,204.27,71.67%,285.03
L,10/DICIEMBRE/2018,105.30,12.17%,5.87,0.68%,111.17,12.85%,273.43,31.61%,351.42,46.61%,129.12,14.92%,753.97,87.15%,865.14
M,11/DICIEMBRE/2018,121.97,14.89%,25.23,3.08%,147.20,17.97%,230.44,28.14%,317.04,47.19%,124.30,15.18%,671.78,82.03%,818.98
MI,12/DICIEMBRE/2018,124.69,16.37%,16.35,2.15%,141.04,18.52%,205.63,26.99%,292.19,47.07%,122.88,16.13%,620.70,81.48%,761.74
J,13/DICIEMBRE/2018,110.61,15.18%,25.99,3.57%,136.60,18.74%,173.60,23.82%,295.71,49.93%,122.95,16.87%,592.26,81.26%,728.86
V,14/DICIEMBRE/2018,109.70,14.40%,34.35,4.51%,144.05,18.90%,214.29,28.12%,276.99,44.82%,126.68,16.62%,617.96,81.10%,762.01
S,15/DICIEMBRE/2018,91.83,14.28%,11.24,1.75%,103.07,16.03%,187.57,29.17%,236.26,43.76%,116.07,18.05%,539.90,83.97%,642.97
D,16/DICIEMBRE/2018,53.19,18.44%,5.36,1.86%,58.55,20.29%,35.59,12.34%,124.85,54.29%,69.51,24.09%,229.95,79.71%,288.50
L,17/DICIEMBRE/2018,139.30,15.62%,13.28,1.49%,152.58,17.10%,268.88,30.14%,328.09,44.37%,142.47,15.97%,739.44,82.90%,892.02
M,18/DICIEMBRE/2018,135.10,15.66%,30.54,3.54%,165.64,19.20%,243.16,28.18%,313.84,45.02%,140.17,16.25%,697.17,80.80%,862.81
MI,19/DICIEMBRE/2018,121.84,15.37%,2.57,0.32%,124.41,15.69%,222.55,28.07%,304.48,45.56%,141.26,17.82%,668.29,84.31%,792.70
J,20/DICIEMBRE/2018,131.92,18.11%,-,0.00%,131.92,18.11%,182.83,25.10%,290.56,48.72%,123.04,16.89%,596.43,81.89%,728.35
V,21/DICIEMBRE/2018,128.27,17.06%,-,0.00%,128.27,17.06%,205.77,27.36%,275.36,44.15%,142.56,18.96%,623.69,82.94%,751.96
S,22/DICIEMBRE/2018,73.94,10.93%,10.60,1.57%,84.54,12.50%,211.34,31.24%,238.32,40.26%,142.22,21.03%,591.88,87.50%,676.42
D,23/DICIEMBRE/2018,88.09,25.75%,12.80,3.74%,100.89,29.49%,38.06,11.13%,116.64,48.36%,86.47,25.28%,241.17,70.51%,342.06
L,24/DICIEMBRE/2018,78.89,9.82%,31.43,3.91%,110.32,13.73%,258.22,32.15%,308.97,44.59%,125.72,15.65%,692.91,86.27%,803.23
M,25/DICIEMBRE/2018,71.29,15.75%,5.61,1.24%,76.90,16.98%,157.87,34.87%,132.14,35.16%,85.85,18.96%,375.86,83.02%,452.76
MI,26/DICIEMBRE/2018,122.10,15.30%,14.64,1.83%,136.74,17.14%,227.11,28.46%,318.27,48.14%,115.77,14.51%,661.15,82.86%,797.89
J,27/DICIEMBRE/2018,123.31,14.85%,10.88,1.31%,134.19,16.16%,195.12,23.50%,349.83,50.24%,151.32,18.22%,696.27,83.84%,830.46
V,28/DICIEMBRE/2018,88.67,10.72%,17.40,2.10%,106.07,12.83%,233.47,28.23%,324.12,44.96%,163.31,19.75%,720.90,87.17%,826.97
S,29/DICIEMBRE/2018,95.41,13.41%,10.45,1.47%,105.86,14.88%,196.46,27.62%,267.35,44.16%,141.61,19.91%,605.42,85.12%,711.28
D,30/DICIEMBRE/2018,52.52,17.26%,6.48,2.13%,59.00,19.39%,33.85,11.12%,130.56,53.23%,80.87,26.58%,245.28,80.61%,304.28
L,31/DICIEMBRE/2018,86.82,11.22%,25.85,3.34%,112.67,14.56%,226.28,29.24%,322.43,48.77%,112.42,14.53%,661.13,85.44%,773.80
