DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
S,01/OCTUBRE/2022,56.13,8.03%,3.74,0.53%,59.87,8.56%,306.86,43.89%,332.37,47.54%,639.23,91.44%,699.10
D,02/OCTUBRE/2022,33.13,13.92%,0.62,0.26%,33.75,14.18%,81.60,34.28%,122.68,51.54%,204.28,85.82%,238.03
L,03/OCTUBRE/2022,48.16,6.64%,,0.00%,48.16,6.64%,315.05,43.43%,362.27,49.94%,677.32,93.36%,725.48
M,04/OCTUBRE/2022,75.38,8.77%,1.36,0.16%,76.74,8.92%,349.65,40.66%,433.61,50.42%,783.26,91.08%,860.00
MI,05/OCTUBRE/2022,57.72,7.26%,1.67,0.21%,59.39,7.47%,311.51,39.18%,424.24,53.35%,735.75,92.53%,795.14
J,06/OCTUBRE/2022,45.49,5.80%,14.45,1.84%,59.94,7.64%,332.45,42.40%,391.71,49.96%,724.16,92.36%,784.10
V,07/OCTUBRE/2022,44.52,6.07%,,0.00%,44.52,6.07%,316.68,43.17%,372.36,50.76%,689.04,93.93%,733.56
S,08/OCTUBRE/2022,54.27,7.87%,,0.00%,54.27,7.87%,289.27,41.97%,345.63,50.15%,634.90,92.13%,689.17
D,09/OCTUBRE/2022,42.34,23.17%,,0.00%,42.34,23.17%,42.40,23.21%,97.96,53.62%,140.36,76.83%,182.70
L,10/OCTUBRE/2022,49.94,6.15%,,0.00%,49.94,6.15%,361.88,44.59%,399.83,49.26%,761.71,93.85%,811.65
M,11/OCTUBRE/2022,60.46,7.70%,4.02,0.51%,64.48,8.21%,306.58,39.03%,414.52,52.77%,721.10,91.79%,785.58
MI,12/OCTUBRE/2022,81.82,10.63%,2.01,0.26%,83.83,10.90%,271.28,35.26%,414.28,53.85%,685.56,89.10%,769.39
J,13/OCTUBRE/2022,57.21,8.00%,1.81,0.25%,59.02,8.25%,297.50,41.58%,359.00,50.17%,656.50,91.75%,715.52
V,14/OCTUBRE/2022,52.80,6.79%,,0.00%,52.80,6.79%,297.37,38.22%,427.90,55.00%,725.27,93.21%,778.07
S,15/OCTUBRE/2022,51.37,7.14%,,0.00%,51.37,7.14%,302.56,42.04%,365.69,50.82%,668.25,92.86%,719.62
D,16/OCTUBRE/2022,,0.00%,,0.00%,,0.00%,78.74,40.04%,117.93,59.96%,196.67,100.00%,196.67
L,17/OCTUBRE/2022,66.57,8.66%,1.91,0.25%,68.48,8.91%,338.18,43.98%,362.21,47.11%,700.39,91.09%,768.87
M,18/OCTUBRE/2022,55.77,7.12%,,0.00%,55.77,7.12%,328.24,41.89%,399.59,50.99%,727.83,92.88%,783.60
MI,19/OCTUBRE/2022,54.78,7.46%,3.08,0.42%,57.86,7.88%,278.35,37.92%,397.80,54.20%,676.15,92.12%,734.01
J,20/OCTUBRE/2022,46.95,6.36%,3.05,0.41%,50.00,6.78%,302.98,41.06%,384.84,52.16%,687.82,93.22%,737.82
V,21/OCTUBRE/2022,51.14,7.27%,,0.00%,51.14,7.27%,272.79,38.78%,379.59,53.96%,652.38,92.73%,703.52
S,22/OCTUBRE/2022,47.11,7.33%,,0.00%,47.11,7.33%,275.90,42.95%,319.36,49.72%,595.26,92.67%,642.37
D,23/OCTUBRE/2022,21.34,10.97%,,0.00%,21.34,10.97%,65.63,33.74%,107.52,55.28%,173.15,89.03%,194.49
L,24/OCTUBRE/2022,47.57,6.35%,2.45,0.33%,50.02,6.68%,312.74,41.75%,386.31,51.57%,699.05,93.32%,749.07
M,25/OCTUBRE/2022,35.34,4.28%,5.44,0.66%,40.78,4.94%,374.35,45.37%,410.03,49.69%,784.38,95.06%,825.16
MI,26/OCTUBRE/2022,47.36,6.39%,,0.00%,47.36,6.39%,312.49,42.16%,381.27,51.45%,693.76,93.61%,741.12
J,27/OCTUBRE/2022,50.58,6.60%,8.77,1.14%,59.35,7.75%,298.80,39.01%,407.82,53.24%,706.62,92.25%,765.97
V,28/OCTUBRE/2022,41.09,5.26%,4.50,0.58%,45.59,5.84%,305.93,39.19%,429.07,54.97%,735.00,94.16%,780.59
S,29/OCTUBRE/2022,50.42,7.64%,6.53,0.99%,56.95,8.63%,281.06,42.61%,321.63,48.76%,602.69,91.37%,659.64
D,30/OCTUBRE/2022,33.50,13.75%,,0.00%,33.50,13.75%,74.39,30.53%,135.77,55.72%,210.16,86.25%,243.66
J,31/OCTUBRE/2022,57.63,7.09%,,0.00%,57.63,7.09%,338.50,41.67%,416.14,51.23%,754.64,92.91%,812.27
