DIA,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,CONWASTE_DOMINICANA_TON,CONWASTE_DOMINICANA_%,URBALUX_TON,URBALUX_%,COMLURSA_TON,COMLURSA_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON,TOTAL_GENERAL_%
S,01/FEBRERO/2020,63.45,12.92,11.16,1.73,94.61,14.65,185.60,28.73,243.70,37.73,122.00,18.89,551.30,85.33,645.91
D,02/FEBRERO/2020,83.35,29.69,7.72,1.41,86.07,30.66,127.79,14.96,927.56,33.04,95.89,21.53,194.66,69.34,280.73
L,03/FEBRERO/2020,80.74,28.55,13.41,1.99,94.15,11.44,237.79,28.14,357.37,43.32,155.50,17.86,750.86,88.06,845.51
M,04/FEBRERO/2020,102.90,12.23,9.34,1.11,112.24,13.34,236.64,28.13,345.41,41.06,147.04,17.18,729.09,86.66,841.33
S,05/FEBRERO/2020,86.10,12.05,14.57,1.87,100.77,12.02,224.11,26.74,301.85,38.70,153.16,19.48,679.12,88.06,779.89
D,06/FEBRERO/2020,103.24,13.11,5.74,0.73,108.98,13.54,212.81,27.03,313.06,39.75,152.68,19.39,678.58,86.16,786.76
L,07/FEBRERO/2020,113.10,14.86,25.37,3.23,134.47,16.39,214.06,28.18,333.44,40.08,143.16,18.76,722.35,86.01,806.13
M,08/FEBRERO/2020,103.59,13.35,7.49,0.95,124.31,14.97,220.67,27.95,324.71,35.98,131.52,19.19,560.68,84.71,685.50
S,09/FEBRERO/2020,72.33,9.32,2.38,0.30,104.42,12.56,174.37,21.20,24.71,37.17,67.74,20.19,260.16,38.57,335.47
D,10/FEBRERO/2020,78.71,10.53,10.74,1.32,89.00,10.66,262.65,32.93,124.71,40.09,183.04,20.43,832.13,90.34,921.00
M,11/FEBRERO/2020,114.21,12.69,8.74,0.97,122.95,13.66,258.41,28.76,354.90,40.48,190.73,18.51,832.13,90.34,921.00
MI,12/FEBRERO/2020,96.09,13.30,6.80,0.79,102.89,11.20,235.21,27.66,327.50,39.51,184.37,21.72,777.45,87.25,920.00
D,13/FEBRERO/2020,86.47,11.23,7.28,0.95,93.75,12.17,204.21,26.52,327.24,42.53,144.64,18.78,676.39,87.83,770.11
L,14/FEBRERO/2020,91.38,12.19,8.77,1.07,100.15,12.26,232.97,28.52,319.95,41.77,163.84,20.08,767.36,87.74,816.11
M,15/FEBRERO/2020,130.33,18.96,6.17,0.90,136.50,19.85,190.05,27.64,238.26,34.12,125.72,18.29,551.03,80.15,697.53
S,16/FEBRERO/2020, - , - ,6.17,0.90, - , -,37.16,5.46,31.66,4.77,25.53,17.18,115.92,16.00,119.52,17.92,119.52
D,17/FEBRERO/2020,104.77,10.78,10.94,1.13,115.71,11.91,280.30,28.45,422.77,43.51,132.85,17.73,855.87,88.04,971.58
