Dia,Fecha,Ayuntamiento,Mec_A,Mec_B,Mec_C,Mec_D,Com_A,Com_B,Com_C,Com_D,Con_A,Con_B,Con_C,Con_D,Total_General
J,01FEBRERO2018,97.43,13.73,4.71,0.66,102.14,14.4,185.66,26.17,278.67,39.28,143.07,20.16,607.4,85.6
V,02FEBRERO2018,89.68,12.57,6.9,0.97,96.58,13.54,210.29,29.49,246.2,34.52,160.14,22.45,616.63,86.46
S,03FEBRERO2018,79.14,13.68,1.15,0.2,80.29,13.87,191.39,33.07,182.79,31.58,124.24,21.47,498.42,86.13
D,04FEBRERO2018,51.45,24.08,2.53,1.18,53.98,25.27,34.41,16.11,54.37,25.45,70.87,33.17,159.65,74.73
L,05FEBRERO2018,95.3,10.96,9.89,1.14,105.19,12.1,260.17,29.92,348.4,40.07,155.66,17.9,764.23,87.9
M,06FEBRERO2018,106.67,13.72,12.15,1.56,118.82,15.29,226.95,29.2,291.43,37.49,140.07,18.02,658.45,84.71
MI,07FEBRERO2018,96.91,13.52,10.15,1.42,107.06,14.93,207.64,28.96,264.18,36.85,138.07,19.26,609.89,85.07
J,08FEBRERO2018,107.97,14.71,6.52,0.89,114.49,15.6,182.98,24.93,285.73,38.93,150.77,20.54,619.48,84.4
V,09FEBRERO2018,87.17,13.15,11.9,1.8,99.07,14.95,203.03,30.64,227.23,34.29,133.32,20.12,563.58,85.05
S,10FEBRERO2018,80.57,13.63,2.16,0.37,82.73,13.99,184.92,31.28,186.77,31.59,136.83,23.14,508.52,86.01
D,11FEBRERO2018,50.63,22.87,4.58,2.07,55.21,24.94,39.31,17.76,65.47,29.57,61.38,27.73,166.16,75.06
L,12FEBRERO2018,85.82,10.14,13.85,1.64,99.67,11.78,262.06,30.97,329.23,38.9,155.29,18.35,746.58,88.22
M,13FEBRERO2018,100.94,12.55,7.4,0.92,108.34,13.47,233.9,29.09,305.75,38.02,156.18,19.42,695.83,86.53
MI,14FEBRERO2018,88.24,12.95,9.58,1.41,97.82,14.35,188.83,27.7,251.21,36.85,143.78,21.09,583.82,85.65
J,15FEBRERO2018,110.48,15.83,15.81,2.27,126.29,18.1,165.73,23.75,257.73,36.93,148.16,21.23,571.62,81.9
V,16FEBRERO2018,110.5,15.88,5.57,0.8,116.07,16.69,209.21,30.07,234.8,33.75,135.56,19.49,579.57,83.31
S,17FEBRERO2018,71.9,12.08,11.63,1.95,83.53,14.03,179.02,30.07,198.98,33.43,133.74,22.47,511.74,85.97
D,18FEBRERO2018,51.44,24.08,3.39,1.59,54.83,25.66,44.91,21.02,50.61,23.69,53.59,25.08,149.11,69.79
L,19FEBRERO2018,118.41,14.2,10.68,1.28,129.09,15.48,253.05,30.35,293.79,35.23,158.06,18.95,704.9,84.52
M,20FEBRERO2018,104.82,13.41,5.27,0.67,110.09,14.09,209.96,26.87,313.1,40.07,148.24,18.97,671.3,85.91
MI,21FEBRERO2018,99.24,14.01,6.36,0.9,105.6,14.9,193.18,27.27,258.08,36.42,151.65,21.4,602.91,85.1
J,22FEBRERO2018,104.96,14.38,17.31,2.37,122.27,16.75,173.74,23.8,293.47,40.2,141.43,19.37,608.64,83.37
V,23FEBRERO2018,104.21,15.21,8.71,1.27,112.92,16.48,200.21,29.22,236.67,34.54,135.46,19.77,572.34,83.52
S,24FEBRERO2018,68.98,12.14,2.72,0.48,71.7,12.62,182.26,32.09,182.08,32.06,131.98,23.24,496.32,87.38
D,25FEBRERO2018,65.89,25.42,2.29,0.88,68.18,26.31,41.7,16.09,80.25,30.96,69.06,26.64,191.01,73.69
L,26FEBRERO2018,72.29,9.43,9.0,1.17,81.29,10.6,244.0,31.83,312.08,40.71,129.27,16.86,685.35,89.4
M,27FEBRERO2018,84.37,12.38,2.5,0.37,86.87,12.74,209.81,30.78,254.18,37.29,130.79,19.19,594.78,87.26
MI,28FEBRERO2018,95.34,12.5,7.86,1.03,103.2,13.53,226.73,29.73,276.89,36.31,155.87,20.44,659.49,86.47
