DIA,FECHA,AMS,MECANIZADOS,TOTAL,AYUNTAMIENTO,COMLURSA,URBALUZ,TOTAL PRIVADAS,TOTAL GENERAL
3.3,-,0.0,24.93,3.3,309.5,41.02,420.04,55.67,754.47
3.9,-,0.0,23.56,3.9,282.36,46.77,297.79,49.33,603.71
12.74,-,0.0,25.29,12.74,76.25,0.0,96.94,0.0,198.48
3.58,0.99,0.14,26.43,3.72,297.86,41.87,387.08,54.41,711.37
4.28,-,0.0,33.55,4.28,327.9,41.79,423.26,53.94,784.71
3.18,-,0.0,24.69,0.0,322.71,41.61,428.18,55.21,775.58
3.19,-,0.0,22.41,0.0,288.9,0.0,391.62,0.0,702.93
2.71,-,0.0,20.3,2.71,331.16,44.27,396.56,53.01,748.02
2.63,-,0.0,17.56,2.63,329.54,49.3,321.33,48.07,668.43
4.29,-,0.0,9.76,4.29,93.8,41.25,123.82,54.46,227.38
0.0,-,0.0,22.79,2.87,335.88,42.34,434.69,54.79,793.36
1.98,-,0.0,15.87,1.98,345.42,43.18,438.68,54.84,799.97
1.61,-,0.0,11.57,1.61,308.13,42.99,397.09,55.4,716.79
2.59,-,0.0,16.86,2.59,262.95,40.37,371.6,57.05,651.41
2.62,-,0.0,19.57,2.62,313.54,42.04,412.78,55.34,745.89
2.81,-,0.0,19.65,2.81,320.87,45.88,358.85,51.31,699.37
6.8,-,0.0,14.99,6.8,88.24,40.01,117.3,53.19,220.53
2.64,-,0.0,20.93,2.64,332.77,42.02,438.31,55.34,792.01
2.73,-,0.0,21.02,2.73,329.95,42.79,420.12,54.48,771.09
3.25,-,0.0,22.88,3.25,301.7,42.79,380.46,53.96,705.04
2.37,-,0.0,17.2,2.37,317.4,43.77,390.6,53.86,725.2
0.21,-,0.0,1.25,0.21,244.45,41.7,340.5,58.09,586.2
3.07,-,0.0,18.78,3.07,286.03,46.75,307.06,50.18,611.87
8.32,-,0.0,22.89,8.32,101.71,36.95,150.67,54.74,275.27
2.79,-,0.0,21.22,2.79,300.22,39.51,438.43,57.7,759.87
2.44,-,0.0,18.18,2.44,302.08,40.6,423.84,56.96,744.1
2.27,-,0.0,14.64,2.27,260.49,40.42,369.3,57.31,644.43
2.18,-,0.0,16.44,2.18,330.23,43.85,406.37,53.96,753.04
2.16,-,0.0,15.27,2.16,289.25,40.93,402.26,56.91,706.78
2.69,-,0.0,16.88,2.69,292.67,46.73,316.8,50.58,626.35
0.99,0.01,577.36,2.96,8323.96,42.68,10602.33,54.36,19503.65,
