DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
D,01/ENERO/2023,39.64,29.30%,,0.00%,39.64,29.30%,58.38,43.15%,37.29,27.56%,95.67,70.70%,135.31
L,02/ENERO/2023,43.01,8.24%,,0.00%,43.01,8.24%,233.56,44.74%,245.51,47.03%,479.07,91.76%,522.08
M,03/ENERO/2023,47.40,6.44%,,0.00%,47.40,6.44%,316.08,42.97%,372.12,50.59%,688.20,93.56%,735.60
MI,04/ENERO/2023,44.37,5.53%,,0.00%,44.37,5.53%,346.38,43.20%,411.12,51.27%,757.50,94.47%,801.87
J,05/ENERO/2023,39.35,5.30%,5.92,0.80%,45.27,6.10%,312.09,42.07%,384.42,51.82%,696.51,93.90%,741.78
V,06/ENERO/2023,45.60,6.25%,,0.00%,45.60,6.25%,318.67,43.65%,365.73,50.10%,684.40,93.75%,730.00
S,07/ENERO/2023,55.44,8.54%,,0.00%,55.44,8.54%,271.41,41.80%,322.49,49.66%,593.90,91.46%,649.34
D,08/ENERO/2023,20.03,9.09%,,0.00%,20.03,9.09%,77.91,35.36%,122.40,55.55%,200.31,90.91%,220.34
L,09/ENERO/2023,36.24,5.96%,,0.00%,36.24,5.96%,246.05,40.46%,325.79,53.58%,571.84,94.04%,608.08
M,10/ENERO/2023,67.45,8.45%,,0.00%,67.45,8.45%,339.45,42.55%,390.96,49.00%,730.41,91.55%,797.86
MI,11/ENERO/2023,55.75,7.73%,2.02,0.28%,57.77,8.02%,311.35,43.20%,351.63,48.79%,662.98,91.98%,720.75
J,12/ENERO/2023,44.65,6.43%,1.11,0.16%,45.76,6.59%,283.29,40.82%,365.00,52.59%,648.29,93.41%,694.05
V,13/ENERO/2023,42.76,5.86%,,0.00%,42.76,5.86%,304.59,41.75%,382.26,52.39%,686.85,94.14%,729.61
S,14/ENERO/2023,46.90,7.93%,,0.00%,46.90,7.93%,237.69,40.18%,307.04,51.90%,544.73,92.07%,591.63
D,15/ENERO/2023,39.03,16.84%,,0.00%,39.03,16.84%,75.02,32.36%,117.78,50.80%,192.80,83.16%,231.83
L,16/ENERO/2023,67.25,8.24%,0.90,0.11%,68.15,8.35%,372.48,45.63%,375.74,46.03%,748.22,91.65%,816.37
M,17/ENERO/2023,47.08,5.95%,,0.00%,47.08,5.95%,345.95,43.71%,398.47,50.34%,744.42,94.05%,791.50
MI,18/ENERO/2023,29.56,4.16%,,0.00%,29.56,4.16%,303.98,42.77%,377.13,53.07%,681.11,95.84%,710.67
J,19/ENERO/2023,30.29,4.49%,,0.00%,30.29,4.49%,307.76,45.58%,337.16,49.93%,644.92,95.51%,675.21
V,20/ENERO/2023,42.74,6.22%,,0.00%,42.74,6.22%,290.50,42.24%,354.43,51.54%,644.93,93.78%,687.67
S,21/ENERO/2023,31.96,6.55%,,0.00%,31.96,6.55%,207.50,42.51%,248.70,50.95%,456.20,93.45%,488.16
D,22/ENERO/2023,23.30,14.99%,,0.00%,23.30,14.99%,40.24,25.89%,91.86,59.11%,132.10,85.01%,155.40
L,23/ENERO/2023,44.98,5.80%,,0.00%,44.98,5.80%,341.98,44.13%,388.02,50.07%,730.00,94.20%,774.98
M,24/ENERO/2023,37.27,4.82%,,0.00%,37.27,4.82%,348.41,45.04%,387.83,50.14%,736.24,95.18%,773.51
MI,25/ENERO/2023,32.16,4.50%,,0.00%,32.16,4.50%,320.72,44.84%,362.43,50.67%,683.15,95.50%,715.31
J,26/ENERO/2023,49.85,7.42%,2.80,0.42%,52.65,7.84%,284.26,42.31%,334.90,49.85%,619.16,92.16%,671.81
V,27/ENERO/2023,49.29,7.15%,,0.00%,49.29,7.15%,283.56,41.13%,356.49,51.71%,640.05,92.85%,689.34
S,28/ENERO/2023,55.74,8.87%,2.10,0.33%,57.84,9.21%,280.06,44.59%,290.18,46.20%,570.24,90.79%,628.08
D,29/ENERO/2023,26.58,17.52%,,0.00%,26.58,17.52%,42.97,28.33%,82.13,54.15%,125.10,82.48%,151.68
L,30/ENERO/2023,38.46,5.65%,,0.00%,38.46,5.65%,286.02,42.01%,356.35,52.34%,642.37,94.35%,680.83
S,31/ENERO/2023,52.83,7.35%,,0.00%,52.83,7.35%,301.05,41.87%,365.17,50.79%,666.22,92.65%,719.05
