DIA,FECHA,AMS(TON,%),MECANIZADOS(TON,%),TOTAL_AYUNTAMIENTO(TON,%),COMLURSA(TON,%),URBALUZ(TON,%),TOTAL_PRIVADAS(TON,%),TOTAL_GENERAL(TON,%)
M1,01/SEPTIEMBRE/2021,42.35%5.91,-%0.00,42.35%5.91,232.85%32.49,441.56%61.61,674.41%94.09,716.76%100.00
V,02/SEPTIEMBRE/2021,28.69%3.54,-%0.00,28.69%3.54,234.33%37.09,368.68%58.36,603.02%94.46,631.71%100.00
S,03/SEPTIEMBRE/2021,20.53%2.96,-%0.00,20.53%2.96,258.22%39.78,415.84%59.87,674.06%97.04,694.59%100.00
D,04/SEPTIEMBRE/2021,44.43%6.51,-%0.00,44.43%6.51,277.39%41.74,367.11%53.75,638.50%93.49,682.93%100.00
L,05/SEPTIEMBRE/2021,29.13%9.15,-%0.00,29.13%9.15,135.10%42.45,153.99%48.39,269.09%80.85,315.22%100.00
M,06/SEPTIEMBRE/2021,49.88%7.57,-%0.00,49.88%7.57,294.35%38.77,415.03%47.66,709.38%92.43,759.26%100.00
J,07/SEPTIEMBRE/2021,59.71%8.51,-%0.00,59.71%8.51,233.56%30.70,467.45%64.15,701.01%92.15,760.72%100.00
M,08/SEPTIEMBRE/2021,36.04%5.21,-%0.00,36.04%5.21,233.92%33.84,421.23%60.94,665.15%90.79,691.19%100.00
V,09/SEPTIEMBRE/2021,36.00%4.95,-%0.00,36.00%4.95,271.46%37.36,419.11%57.68,690.57%95.05,726.57%100.00
S,10/SEPTIEMBRE/2021,30.96%4.05,-%0.00,30.96%4.05,329.09%43.07,403.98%52.87,733.07%94.95,764.03%100.00
D,11/SEPTIEMBRE/2021,33.21%5.23,-%0.00,33.21%5.23,276.23%43.53,325.20%51.24,601.43%94.77,634.61%100.00
L,12/SEPTIEMBRE/2021,21.47%2.81,-%0.00,21.47%2.81,141.90%32.09%,109.02%40.02,250.92%97.21,272.39%100.00
M,13/SEPTIEMBRE/2021,20.57%2.84,-%0.00,20.57%2.84,279.36%38.61,423.62%58.55,702.98%97.36,723.35%100.00
J,14/SEPTIEMBRE/2021,33.88%4.03,-%0.00,33.88%4.03,325.77%39.79,480.23%57.18,806.00%95.97,839.88%100.00
M,15/SEPTIEMBRE/2021,23.15%3.02,-%0.00,23.15%3.02,303.89%39.61,440.13%57.37,744.02%96.98,767.17%100.00
J,16/SEPTIEMBRE/2021,18.50%2.43,-%0.00,18.50%2.43,343.32%40.14,440.48%57.53,743.90%97.57,762.40%100.00
V,17/SEPTIEMBRE/2021,29.91%3.86,-%0.00,29.91%3.88,309.92%40.12,432.59%56.00,742.51%96.12,772.45%100.00
S,18/SEPTIEMBRE/2021,32.11%4.69,-%0.00,32.11%4.69,315.21%46.01,337.78%49.30,653.02%85.31,685.13%100.00
D,19/SEPTIEMBRE/2021,39.26%12.71,-%0.00,39.26%12.71,133.54%46.24,136.04%40.05,653.58%87.29,708.84%100.00
L,20/SEPTIEMBRE/2021,20.95%2.76,-%0.00,20.95%2.76,311.12%41.05,425.83%56.19,736.95%97.24,757.90%100.00
M,21/SEPTIEMBRE/2021,27.45%3.40,-%0.00,27.45%3.40,312.12%42.39,437.32%56.21,779.64%96.60,807.09%100.00
J,22/SEPTIEMBRE/2021,33.84%4.42,-%0.00,33.84%4.42,331.54%43.29,400.41%52.29,731.95%95.58,765.79%100.00
M,23/SEPTIEMBRE/2021,43.82%6.19,-%0.00,43.82%6.19,280.70%39.62,383.95%51.49,664.65%93.81,708.47%100.00
J,24/SEPTIEMBRE/2021,9.99%1.38,-%0.00,9.99%1.38,323.55%44.80,388.62%53.82,712.15%98.62,722.14%100.00
V,25/SEPTIEMBRE/2021,23.68%4.19,-%0.00,23.68%4.19,236.14%41.77,305.47%43.04,514.61%71.51,565.29%100.00
S,26/SEPTIEMBRE/2021,9.66%1.39,-%0.00,9.66%1.38,93.92%41.89,113.86%50.78,207.78%92.67,224.22%100.00
D,27/SEPTIEMBRE/2021,16.44%7.30,-%0.00,16.44%7.30,307.47%41.12,410.04%51.18,712.51%95.30,747.65%100.00
L,28/SEPTIEMBRE/2021,35.14%4.70,-%0.00,35.14%4.70,365.50%43.51,444.11%53.80,709.91%98.11,725.51%100.00
M,29/SEPTIEMBRE/2021,15.60%1.89,-%0.00,15.60%1.89,278.38%41.77,415.67%59.39,694.05%99.17,699.89%100.00
J,30/SEPTIEMBRE/2021,5.84%0.83,-%0.00,5.84%0.83,309.59%42.50,403.27%55.57,712.8%97.87,728.38%100.00
31/DICIEMBRE/2020,15.5%2.13,-%0.00,15.5%2.13,-%DIV/0!,-%DIV/0!,-%DIV/0!,-%DIV/0!,-%DIV/0!
