DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
M,01/DICIEMBRE/2020,135.14,16.31%,5.06,0.61%,140.20,16.92%,288.96,34.87%,399.59,48.22%,688.55,83.08%,828.75
MI,02/DICIEMBRE/2020,131.18,17.83%,2.46,0.33%,133.64,18.16%,227.10,30.86%,375.13,50.98%,602.23,81.84%,735.87
J,03/DICIEMBRE/2020,117.57,15.67%,1.75,0.23%,119.32,15.91%,294.57,39.27%,336.20,44.82%,630.77,84.09%,750.09
V,04/DICIEMBRE/2020,173.51,20.17%,1.26,0.15%,174.77,20.32%,322.77,37.53%,362.50,42.15%,685.27,79.68%,860.04
S,05/DICIEMBRE/2020,102.89,14.39%,4.08,0.57%,106.97,14.96%,301.86,42.23%,306.01,42.81%,607.87,85.04%,714.84
D,06/DICIEMBRE/2020,82.67,34.55%,2.44,1.02%,85.11,35.56%,43.39,18.13%,110.81,46.30%,154.20,64.44%,239.31
L,07/DICIEMBRE/2020,122.42,14.97%,0.97,0.12%,123.39,15.09%,317.94,38.89%,376.24,46.02%,694.18,84.91%,817.57
M,08/DICIEMBRE/2020,117.51,13.89%,3.53,0.42%,121.04,14.31%,320.84,37.92%,404.13,47.77%,724.97,85.69%,846.01
MI,09/DICIEMBRE/2020,79.45,9.80%,1.46,0.18%,80.91,9.98%,318.12,39.25%,411.53,50.77%,729.65,90.02%,810.56
J,10/DICIEMBRE/2020,95.23,13.68%,3.83,0.55%,99.06,14.23%,284.52,40.88%,312.49,44.89%,597.01,85.77%,696.07
V,11/DICIEMBRE/2020,109.40,15.12%,3.44,0.48%,112.84,15.60%,275.21,38.04%,335.39,46.36%,610.60,84.40%,723.44
S,12/DICIEMBRE/2020,102.06,14.34%,5.99,0.84%,108.05,15.18%,292.95,41.15%,310.89,43.67%,603.84,84.82%,711.89
D,13/DICIEMBRE/2020,156.37,50.99%,2.60,0.85%,158.97,51.83%,39.24,12.79%,108.48,35.37%,147.72,48.17%,306.69
L,14/DICIEMBRE/2020,169.54,18.82%,-,0.00%,169.54,18.82%,344.26,38.21%,387.19,42.97%,731.45,81.18%,900.99
M,15/DICIEMBRE/2020,113.85,13.52%,4.96,0.59%,118.81,14.11%,336.36,39.94%,386.99,45.95%,723.35,85.89%,842.16
MI,16/DICIEMBRE/2020,122.43,14.36%,6.87,0.81%,129.30,15.17%,330.61,41.14%,372.41,43.69%,723.02,84.83%,852.32
J,17/DICIEMBRE/2020,99.60,14.25%,1.06,0.15%,100.66,14.40%,301.34,43.10%,297.10,42.50%,598.44,85.60%,699.10
V,18/DICIEMBRE/2020,88.63,11.62%,11.37,1.49%,100.00,13.12%,322.04,42.24%,340.40,44.65%,662.44,86.88%,762.44
S,19/DICIEMBRE/2020,50.92,7.21%,35.58,5.04%,86.50,12.24%,289.76,41.01%,330.35,46.75%,620.11,87.76%,706.61
D,20/DICIEMBRE/2020,94.50,34.39%,2.38,0.87%,96.88,35.26%,47.80,17.40%,130.08,47.34%,177.88,64.74%,274.76
L,21/DICIEMBRE/2020,111.28,13.11%,9.88,1.16%,121.16,14.28%,353.27,41.63%,374.26,44.10%,727.53,85.72%,848.69
M,22/DICIEMBRE/2020,141.61,16.18%,4.08,0.47%,145.69,16.64%,316.31,36.13%,413.42,47.23%,729.73,83.36%,875.42
MI,23/DICIEMBRE/2020,110.05,12.88%,13.83%,1.62%,123.88,14.50%,352.76,41.30%,377.53,44.20%,730.29,85.50%,854.17
J,24/DICIEMBRE/2020,78.12,11.73%,7.70,1.16%,85.82,12.88%,274.33,41.18%,305.99,45.93%,580.32,87.12%,666.14
V,25/DICIEMBRE/2020,89.40,20.51%,1.64,0.38%,91.04,20.88%,121.94,27.97%,222.96,51.14%,344.90,79.12%,435.94
S,26/DICIEMBRE/2020,70.22,13.02%,1.83,0.34%,72.05,13.36%,214.07,39.69%,253.21,46.95%,467.28,86.64%,539.33
D,27/DICIEMBRE/2020,66.69,27.12%,1.35,0.55%,68.04,27.67%,45.80,18.63%,132.05,53.70%,177.85,72.33%,245.89
L,28/DICIEMBRE/2020,122.40,13.45%,3.93,0.43%,126.33,13.88%,402.66,44.23%,381.38,41.89%,784.04,86.12%,910.37
M,29/DICIEMBRE/2020,123.45,12.67%,19.46,2.00%,142.91,14.67%,368.03,37.78%,463.18,47.55%,831.21,85.33%,974.12
MI,30/DICIEMBRE/2020,111.69,12.98%,21.88,2.54%,133.57,15.33%,293.59,34.13%,432.99,50.34%,726.58,84.47%,860.15
J,31/DICIEMBRE/2020,74.40,10.86%,-,0.00%,74.40,10.86%,240.53,35.11%,370.21,54.03%,610.74,89.14%,685.14
TOTALES,"","3,364.18",15.31%,186.67,0.85%,"3,550.85",16.16%,"8,209.02",37.36%,"9,211.31",41.92%,"17,420.33",79.28%,"21,971.18"
