Dia,Fecha,Ayuntamiento,Mec_A,Mec_B,Mec_C,Mec_D,Com_A,Com_B,Com_C,Com_D,Con_A,Con_B,Con_C,Con_D,Total_General
V,01JUNIO2018,134.56,18.26,6.74,0.91,141.3,19.17,209.4,28.41,239.19,40.15,147.19,19.97,595.78,80.83
S,02JUNIO2018,84.33,13.62,7.83,1.26,92.16,14.88,182.71,29.51,207.25,39.33,137.04,22.13,527.0,85.12
D,03JUNIO2018,28.5,13.49,7.72,3.65,36.22,17.15,39.33,18.62,75.22,42.98,60.48,28.63,175.03,82.85
L,04JUNIO2018,156.67,17.16,6.7,0.73,163.37,17.9,258.37,28.3,343.79,45.87,147.32,16.14,749.48,82.1
M,05JUNIO2018,124.14,15.91,6.14,0.79,130.28,16.7,223.99,28.7,279.03,42.93,147.02,18.84,650.04,83.3
MI,06JUNIO2018,84.99,11.72,10.81,1.49,95.8,13.21,209.2,28.84,282.18,44.82,138.21,19.05,629.59,86.79
J,07JUNIO2018,100.71,14.14,9.02,1.27,109.73,15.41,172.83,24.27,287.22,47.68,142.38,19.99,602.43,84.59
V,08JUNIO2018,96.7,13.2,10.16,1.39,106.86,14.59,215.45,29.41,260.25,41.59,150.1,20.49,625.8,85.41
S,09JUNIO2018,52.68,9.05,9.25,1.59,61.93,10.64,196.67,33.79,204.22,39.26,119.26,20.49,520.15,89.36
D,10JUNIO2018,55.35,23.08,7.65,3.19,63.0,26.27,35.92,14.98,73.75,41.72,67.12,27.99,176.79,73.73
L,11JUNIO2018,136.52,15.33,4.61,0.52,141.13,15.84,260.63,29.26,330.12,44.03,158.95,17.84,749.7,84.16
M,12JUNIO2018,119.03,14.22,7.71,0.92,126.74,15.14,226.8,27.14,336.16,47.4,146.24,17.5,709.2,84.86
MI,13JUNIO2018,96.35,12.78,22.86,3.03,119.21,15.82,208.79,27.7,276.89,43.64,148.83,19.75,634.51,84.18
J,14JUNIO2018,132.24,17.77,5.68,0.76,137.92,18.53,183.76,24.69,290.04,47.84,132.42,17.8,606.22,81.47
V,15JUNIO2018,92.03,13.12,3.3,0.47,95.33,13.59,201.9,28.78,265.43,43.78,138.95,19.8,606.28,86.41
S,16JUNIO2018,60.17,10.55,10.19,1.79,70.36,12.33,169.2,29.66,199.48,39.89,131.44,23.04,500.12,87.67
D,17JUNIO2018,24.38,11.37,5.19,2.42,29.57,13.79,37.95,17.7,87.42,47.29,59.49,27.74,184.86,86.21
L,18JUNIO2018,145.86,15.64,7.75,0.83,153.61,16.47,265.47,28.47,343.51,44.11,169.82,18.21,778.8,83.53
M,19JUNIO2018,152.01,17.35,10.23,1.17,162.24,18.51,238.62,27.23,324.26,45.41,151.26,17.26,714.14,81.49
MI,20JUNIO2018,105.12,13.58,10.18,1.31,115.3,14.89,228.85,29.56,290.17,44.04,139.89,18.07,658.91,85.11
J,21JUNIO2018,102.43,14.45,28.07,3.96,130.5,18.41,187.65,26.48,287.89,49.79,102.63,14.48,578.17,81.59
V,22JUNIO2018,120.75,14.47,9.13,1.09,129.88,15.56,225.49,27.02,299.22,42.86,180.0,21.57,704.71,84.44
S,23JUNIO2018,60.66,9.62,7.29,1.16,67.95,10.78,197.28,31.29,239.53,42.37,125.82,19.95,562.63,89.22
D,24JUNIO2018,63.9,23.79,8.58,3.19,72.48,26.98,42.71,15.9,90.35,46.08,63.15,23.51,196.21,73.04
L,25JUNIO2018,160.09,16.27,0.0,160.09,16.27,278.8,28.33,371.93,45.65,172.25,17.5,823.98,83.73,984.07
M,26JUNIO2018,124.95,13.86,8.8,0.98,133.75,14.83,258.89,28.71,352.52,45.91,156.43,17.35,767.84,85.17
MI,27JUNIO2018,112.22,13.43,9.57,1.15,121.79,14.58,257.3,30.78,304.7,42.71,151.66,18.16,713.66,85.42
J,28JUNIO2018,99.38,13.02,7.19,0.94,106.57,13.97,195.6,25.63,307.45,46.85,153.46,20.11,656.51,86.03
V,29JUNIO2018,111.13,14.24,20.1,2.58,131.23,16.81,220.58,28.26,283.52,44.02,145.1,18.59,649.2,83.19
S,30JUNIO2018,59.27,9.37,9.12,1.44,68.39,10.81,197.29,31.2,237.33,42.08,129.36,20.46,563.98,89.19
