Dia,Fecha,Ayuntamiento,Mec_A,Mec_B,Mec_C,Mec_D,Com_A,Com_B,Com_C,Com_D,Con_A,Con_B,Con_C,Con_D,Total_General
MI,01AGOSTO2018,102.67,12.72,23.61,2.93,126.28,15.65,231.8,28.73,310.15,38.44,138.66,17.18,680.61,84.35
J,02AGOSTO2018,129.03,16.05,12.73,1.58,141.76,17.63,197.74,24.6,330.45,41.11,133.96,16.66,662.15,82.37
V,03AGOSTO2018,94.13,13.86,8.79,1.29,102.92,15.15,198.65,29.25,239.59,35.28,138.04,20.32,576.28,84.85
S,04AGOSTO2018,88.3,12.01,1.56,0.21,89.86,12.22,226.3,30.78,289.0,39.3,130.11,17.7,645.41,87.78
D,05AGOSTO2018,26.43,11.81,5.0,2.23,31.43,14.05,46.36,20.72,93.58,41.82,52.38,23.41,192.32,85.95
L,06AGOSTO2018,160.33,17.04,8.14,0.87,168.47,17.9,287.38,30.54,340.16,36.15,145.02,15.41,772.56,82.1
MI,07AGOSTO2018,128.88,15.15,8.02,0.94,136.9,16.09,237.91,27.97,345.69,40.64,130.12,15.3,713.72,83.91
MI,08AGOSTO2018,121.48,15.11,6.07,0.75,127.55,15.86,224.8,27.96,308.05,38.32,143.59,17.86,676.44,84.14
J,09AGOSTO2018,108.98,14.62,13.69,1.84,122.67,16.46,186.76,25.06,305.0,40.92,130.94,17.57,622.7,83.54
V,10AGOSTO2018,102.92,13.73,5.95,0.79,108.87,14.53,215.72,28.78,286.33,38.21,138.53,18.48,640.58,85.47
S,11AGOSTO2018,69.15,11.12,9.78,1.57,78.93,12.7,195.03,31.38,231.34,37.22,116.28,18.71,542.65,87.3
D,12AGOSTO2018,53.13,21.45,6.19,2.5,59.32,23.94,34.68,13.99,99.09,39.99,54.65,22.07,188.42,76.06
L,13AGOSTO2018,134.27,14.62,12.9,1.4,147.17,16.02,277.33,30.19,345.14,37.58,148.87,16.21,771.34,83.98
M,14AGOSTO2018,133.26,15.26,8.52,0.98,141.78,16.23,242.51,27.77,333.35,38.16,155.8,17.84,731.66,83.77
MI,15AGOSTO2018,112.68,14.31,9.13,1.16,121.81,15.47,237.08,30.1,296.97,37.71,132.66,16.85,666.71,84.53
J,16AGOSTO2018,45.02,7.92,5.75,1.01,50.77,8.93,160.8,28.29,275.67,48.5,81.12,14.27,517.59,91.07
V,17AGOSTO2018,122.86,15.79,8.82,1.13,131.68,16.92,224.87,28.9,269.36,34.62,152.12,19.55,646.35,83.08
S,18AGOSTO2018,88.17,13.06,0.0,0.0,88.17,13.06,197.39,29.23,261.89,38.78,127.8,18.93,587.08,86.94
D,19AGOSTO2018,38.99,17.07,7.48,3.27,46.47,20.34,29.4,12.87,97.95,42.88,54.63,23.91,181.98,79.66
L,20AGOSTO2018,131.6,14.3,13.05,1.42,144.65,15.72,272.75,29.63,358.27,38.92,147.76,16.05,778.78,84.28
M,21AGOSTO2018,123.22,15.16,15.71,1.93,138.93,17.09,234.32,28.82,310.6,38.2,129.16,15.89,674.08,82.91
MI,22AGOSTO2018,80.95,10.97,14.41,1.95,95.36,12.92,220.98,29.94,293.96,39.83,127.68,17.3,642.62,87.08
J,23AGOSTO2018,117.57,15.92,9.31,1.26,126.88,17.18,186.83,25.3,296.2,40.12,128.42,17.39,611.45,82.82
V,24AGOSTO2018,106.45,14.24,10.48,1.4,116.93,15.64,208.93,27.95,294.92,39.45,126.86,16.97,630.71,84.36
S,25AGOSTO2018,80.97,12.68,17.5,2.74,98.47,15.42,191.02,29.91,229.11,35.88,120.04,18.8,540.17,84.58
D,26AGOSTO2018,51.25,19.1,8.91,3.32,60.16,22.42,40.31,15.02,107.89,40.2,60.02,22.36,208.22,77.58
L,27AGOSTO2018,136.85,15.08,11.96,1.32,148.81,16.39,272.64,30.04,340.31,37.5,145.91,16.08,758.86,83.61
M,28AGOSTO2018,121.03,15.18,14.77,1.85,135.8,17.04,226.53,28.42,303.67,38.1,131.07,16.44,661.27,82.96
MI,29AGOSTO2018,106.98,13.65,28.26,3.61,135.24,17.25,227.09,28.97,294.28,37.54,127.26,16.23,648.63,82.75
J,30AGOSTO2018,131.06,17.09,7.63,1.0,138.69,18.09,187.42,24.44,304.26,39.68,136.42,17.79,628.1,81.91
V,31AGOSTO2018,117.8,15.06,10.35,1.32,128.15,16.38,226.24,28.92,298.86,38.2,129.09,16.5,654.19,83.62
