DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
MI,01/FEBRERO/2023,38.76,5.30%,,0.00%,38.76,5.30%,306.01,41.81%,387.14,52.89%,693.15,94.70%,731.91
J,02/FEBRERO/2023,35.23,5.12%,,0.00%,35.23,5.12%,309.60,45.00%,343.11,49.87%,652.71,94.88%,687.94
V,03/FEBRERO/2023,43.81,6.32%,,0.00%,43.81,6.32%,303.04,43.73%,346.06,49.94%,649.10,93.68%,692.91
S,04/FEBRERO/2023,46.73,7.49%,,0.00%,46.73,7.49%,288.06,46.18%,288.99,46.33%,577.05,92.51%,623.78
D,05/FEBRERO/2023,32.92,16.55%,,0.00%,32.92,16.55%,53.87,27.08%,112.17,56.38%,166.04,83.45%,198.96
L,06/FEBRERO/2023,39.01,5.09%,,0.00%,39.01,5.09%,323.68,42.20%,404.32,52.71%,728.00,94.91%,767.01
M,07/FEBRERO/2023,31.38,4.24%,1.21,0.16%,32.59,4.40%,316.14,42.71%,391.53,52.89%,707.67,95.60%,740.26
MI,08/FEBRERO/2023,40.54,5.74%,,0.00%,40.54,5.74%,291.07,41.19%,374.98,53.07%,666.05,94.26%,706.59
J,09/FEBRERO/2023,40.67,6.22%,,0.00%,40.67,6.22%,288.39,44.13%,324.51,49.65%,612.90,93.78%,653.57
V,10/FEBRERO/2023,30.22,4.31%,,0.00%,30.22,4.31%,307.02,43.75%,364.54,51.95%,671.56,95.69%,701.78
S,11/FEBRERO/2023,57.79,10.17%,,0.00%,57.79,10.17%,258.92,45.58%,251.38,44.25%,510.30,89.83%,568.09
D,12/FEBRERO/2023,22.88,12.16%,,0.00%,22.88,12.16%,58.71,31.21%,106.52,56.63%,165.23,87.84%,188.11
L,13/FEBRERO/2023,26.50,3.84%,,0.00%,26.50,3.84%,325.79,47.24%,337.42,48.92%,663.21,96.16%,689.71
M,14/FEBRERO/2023,33.53,4.73%,,0.00%,33.53,4.73%,313.57,44.21%,362.18,51.06%,675.75,95.27%,709.28
MI,15/FEBRERO/2023,34.66,4.76%,,0.00%,34.66,4.76%,300.46,41.29%,392.56,53.95%,693.02,95.24%,727.68
J,16/FEBRERO/2023,38.31,5.31%,,0.00%,38.31,5.31%,314.27,43.58%,368.58,51.11%,682.85,94.69%,721.16
V,17/FEBRERO/2023,39.90,5.29%,,0.00%,39.90,5.29%,343.86,45.61%,370.16,49.10%,714.02,94.71%,753.92
S,18/FEBRERO/2023,45.13,7.07%,,0.00%,45.13,7.07%,308.96,48.40%,284.32,44.54%,593.28,92.93%,638.41
D,19/FEBRERO/2023,38.65,16.77%,,0.00%,38.65,16.77%,81.06,35.18%,110.72,48.05%,191.78,83.23%,230.43
L,20/FEBRERO/2023,49.20,5.98%,,0.00%,49.20,5.98%,362.12,44.03%,411.04,49.98%,773.16,94.02%,822.36
M,21/FEBRERO/2023,56.73,7.15%,,0.00%,56.73,7.15%,337.26,42.51%,399.42,50.34%,736.68,92.85%,793.41
MI,22/FEBRERO/2023,49.58,6.69%,,0.00%,49.58,6.69%,296.89,40.06%,394.57,53.25%,691.46,93.31%,741.04
J,23/FEBRERO/2023,36.93,5.74%,,0.00%,36.93,5.74%,279.44,43.42%,327.21,50.84%,606.65,94.26%,643.58
V,24/FEBRERO/2023,50.46,7.20%,,0.00%,50.46,7.20%,288.40,41.14%,362.08,51.66%,650.48,92.80%,700.94
S,25/FEBRERO/2023,34.28,5.43%,,0.00%,34.28,5.43%,305.14,48.29%,292.41,46.28%,597.55,94.57%,631.83
D,26/FEBRERO/2023,39.58,20.28%,,0.00%,39.58,20.28%,57.60,29.51%,98.00,50.21%,155.60,79.72%,195.18
L,27/FEBRERO/2023,31.82,4.81%,,0.00%,31.82,4.81%,299.31,45.20%,331.08,50.00%,630.39,95.19%,662.21
M,28/FEBRERO/2023,64.31,8.65%,,0.00%,64.31,8.65%,301.78,40.57%,377.77,50.79%,679.55,91.35%,743.86
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
