DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
V,01/DICIEMBRE/2023,60.67,8.36%,,0.00%,60.67,8.36%,295.89,40.78%,369.00,50.86%,664.89,91.64%,725.56
S,02/DICIEMBRE/2023,40.91,6.67%,,0.00%,40.91,6.67%,261.71,42.65%,311.06,50.69%,572.77,93.33%,613.68
D,03/DICIEMBRE/2023,26.81,11.88%,,0.00%,26.81,11.88%,60.25,26.70%,138.59,61.42%,198.84,88.12%,225.65
L,04/DICIEMBRE/2023,45.04,5.87%,,0.00%,45.04,5.87%,317.72,41.43%,404.13,52.70%,721.85,94.13%,766.89
M,05/DICIEMBRE/2023,37.07,5.24%,,0.00%,37.07,5.24%,266.75,37.74%,402.96,57.01%,669.71,94.76%,706.78
MI,06/DICIEMBRE/2023,48.47,6.38%,4.34,0.57%,52.81,6.95%,319.62,42.08%,387.07,50.96%,706.69,93.05%,759.50
J,07/DICIEMBRE/2023,58.27,7.93%,,0.00%,58.27,7.93%,285.73,38.90%,390.53,53.17%,676.26,92.07%,734.53
V,08/DICIEMBRE/2023,39.10,6.05%,3.10,0.48%,42.20,6.53%,255.59,39.57%,348.14,53.90%,603.73,93.47%,645.93
S,09/DICIEMBRE/2023,40.29,6.16%,2.77,0.42%,43.06,6.59%,265.58,40.63%,345.08,52.79%,610.66,93.41%,653.72
D,10/DICIEMBRE/2023,34.91,15.56%,,0.00%,34.91,15.56%,67.15,29.93%,122.27,54.50%,189.42,84.44%,224.33
L,11/DICIEMBRE/2023,44.91,5.90%,,0.00%,44.91,5.90%,301.77,39.65%,414.49,54.45%,716.26,94.10%,761.17
M,12/DICIEMBRE/2023,47.87,6.29%,1.89,0.25%,49.76,6.54%,326.83,42.95%,384.40,50.51%,711.23,93.46%,760.99
MI,13/DICIEMBRE/2023,49.64,6.75%,,0.00%,49.64,6.75%,287.90,39.16%,397.59,54.08%,685.49,93.25%,735.13
J,14/DICIEMBRE/2023,50.28,6.55%,5.25,0.68%,55.53,7.24%,288.20,37.56%,423.58,55.20%,711.78,92.76%,767.31
V,15/DICIEMBRE/2023,31.52,4.42%,,0.00%,31.52,4.42%,280.55,39.37%,400.59,56.21%,681.14,95.58%,712.66
S,16/DICIEMBRE/2023,48.27,8.33%,,0.00%,48.27,8.33%,224.32,38.71%,306.88,52.96%,531.20,91.67%,579.47
D,17/DICIEMBRE/2023,67.71,25.12%,,0.00%,67.71,25.12%,79.71,29.57%,122.11,45.30%,201.82,74.88%,269.53
L,18/DICIEMBRE/2023,33.47,4.42%,,0.00%,33.47,4.42%,309.74,40.87%,414.65,54.71%,724.39,95.58%,757.86
M,19/DICIEMBRE/2023,51.76,7.26%,,0.00%,51.76,7.26%,269.56,37.79%,391.99,54.95%,661.55,92.74%,713.31
MI,20/DICIEMBRE/2023,31.06,4.16%,6.38,0.85%,37.44,5.01%,277.50,37.13%,432.47,57.86%,709.97,94.99%,747.41
J,21/DICIEMBRE/2023,54.14,6.74%,,0.00%,54.14,6.74%,339.81,42.31%,409.23,50.95%,749.04,93.26%,803.18
V,22/DICIEMBRE/2023,36.24,4.76%,5.79,0.76%,42.03,5.52%,290.46,38.18%,428.37,56.30%,718.83,94.48%,760.86
S,23/DICIEMBRE/2023,43.01,6.75%,,0.00%,43.01,6.75%,259.21,40.70%,334.71,52.55%,593.92,93.25%,636.93
D,24/DICIEMBRE/2023,28.73,7.27%,,0.00%,28.73,7.27%,135.30,34.24%,231.09,58.49%,366.39,92.73%,395.12
L,25/DICIEMBRE/2023,39.10,9.94%,,0.00%,39.10,9.94%,163.87,41.65%,190.44,48.41%,354.31,90.06%,393.41
M,26/DICIEMBRE/2023,45.58,7.57%,,0.00%,45.58,7.57%,212.71,35.32%,343.93,57.11%,556.64,92.43%,602.22
MI,27/DICIEMBRE/2023,50.91,7.54%,,0.00%,50.91,7.54%,263.51,39.04%,360.47,53.41%,623.98,92.46%,674.89
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
