Dia,Fecha,Ayuntamiento,Mec_A,Mec_B,Mec_C,Mec_D,Com_A,Com_B,Com_C,Com_D,Con_A,Con_B,Con_C,Con_D,Total_General
D,01ABRIL2018,27.33,12.83,1.61,0.76,28.94,13.58,40.86,19.18,62.47,29.32,80.81,37.92,184.14,86.42
L,02ABRIL2018,103.13,13.24,7.64,0.98,110.77,14.22,261.51,33.56,281.45,36.12,125.39,16.09,668.35,85.78
M,03ABRIL2018,100.04,11.86,6.36,0.75,106.4,12.62,264.28,31.34,312.27,37.03,160.41,19.02,736.96,87.38
MI,04ABRIL2018,82.32,11.34,4.54,0.63,86.86,11.96,212.04,29.2,271.91,37.44,155.4,21.4,639.35,88.04
J,05ABRIL2018,103.25,15.07,7.01,1.02,110.26,16.09,172.67,25.2,277.86,40.55,124.47,18.16,575.0,83.91
V,06ABRIL2018,118.21,14.97,9.4,1.19,127.61,16.16,218.04,27.62,276.58,35.03,166.21,21.31,661.83,83.84
S,07ABRIL2018,83.95,13.23,8.17,1.29,92.12,14.52,209.61,33.02,198.82,31.33,134.0,21.11,542.43,85.48
D,08ABRIL2018,44.27,21.04,5.81,2.76,50.08,23.8,41.29,19.63,66.47,31.6,52.55,24.98,160.31,76.2
L,09ABRIL2018,93.47,10.81,10.92,1.26,104.39,12.07,278.67,32.23,323.42,37.4,158.27,18.3,760.36,87.93
M,10ABRIL2018,120.9,14.57,18.14,2.19,139.04,16.75,218.19,26.3,330.14,39.78,142.22,17.14,690.55,83.24
MI,11ABRIL2018,88.41,11.98,8.59,1.16,97.0,13.14,216.84,29.37,272.91,36.97,151.52,20.52,641.27,86.86
J,12ABRIL2018,117.45,15.62,7.76,1.03,125.21,16.65,180.96,24.06,289.25,38.46,156.7,20.83,626.91,83.35
V,13ABRIL2018,100.71,13.85,5.25,0.72,105.96,14.57,207.98,28.59,261.06,35.89,152.37,20.95,621.4,85.43
S,14ABRIL2018,70.5,11.41,2.58,0.42,73.08,11.83,185.6,30.05,218.46,35.37,140.22,22.7,544.28,88.12
D,15ABRIL2018,53.27,22.5,9.62,4.06,62.89,26.56,46.09,19.47,63.14,26.68,63.74,26.93,172.97,73.07
L,16ABRIL2018,134.59,14.94,14.98,1.66,149.57,16.6,262.79,29.17,327.78,36.39,160.69,17.84,751.26,83.4
M,17ABRIL2018,111.77,13.62,5.58,0.68,117.35,14.3,236.6,28.83,310.54,37.84,156.09,19.02,703.23,85.7
MI,18ABRIL2018,98.11,13.32,11.11,1.51,109.22,14.83,206.83,28.09,271.52,36.88,148.72,20.2,627.07,85.17
J,19ABRIL2018,114.75,15.91,8.4,1.16,123.15,17.08,175.61,24.35,285.94,39.65,141.3,19.6,602.85,83.6
V,20ABRIL2018,99.6,13.98,8.25,1.16,107.85,15.13,212.54,29.82,257.2,36.09,135.04,18.95,604.78,84.87
S,21ABRIL2018,82.91,14.03,3.14,0.53,86.05,14.57,195.63,33.11,188.85,31.96,120.25,20.35,504.73,85.43
D,22ABRIL2018,45.16,19.27,4.08,1.74,49.24,21.01,39.0,16.64,83.14,35.47,62.99,26.87,185.13,78.99
L,23ABRIL2018,126.78,14.07,6.67,0.74,133.45,14.81,255.23,28.32,336.39,37.33,176.03,19.54,767.65,85.19
M,24ABRIL2018,94.26,12.21,1.79,0.23,96.05,12.44,223.81,28.99,291.27,37.72,160.95,20.85,676.03,87.56
MI,25ABRIL2018,114.15,15.17,4.3,0.57,118.45,15.75,208.17,27.67,244.95,32.56,160.73,21.37,633.85,84.25
J,26ABRIL2018,92.2,13.45,6.95,1.01,99.15,14.46,177.03,25.82,260.47,37.99,149.08,21.74,586.58,85.54
V,27ABRIL2018,127.0,17.66,4.72,0.66,131.72,18.32,196.25,27.29,239.24,33.27,151.8,21.11,587.29,81.68
S,28ABRIL2018,60.83,10.53,1.17,0.2,62.0,10.73,190.95,33.05,209.03,36.18,115.73,20.03,515.71,89.27
D,29ABRIL2018,38.81,19.31,6.0,2.99,44.81,22.3,33.18,16.51,66.01,32.84,56.98,28.35,156.17,77.7
L,30ABRIL2018,68.42,11.27,0.0,0.0,68.42,11.27,215.55,35.5,231.83,38.18,91.42,15.06,538.8,88.73
