Dia,Fecha,Ayuntamiento,Mec_A,Mec_B,Mec_C,Mec_D,Com_A,Com_B,Com_C,Com_D,Con_A,Con_B,Con_C,Con_D,Total_General
D,01JULIO2018,39.07,15.62,5.78,2.31,44.85,17.93,38.82,15.52,101.46,40.57,64.22,25.68,204.5,81.77
L,02JULIO2018,203.69,20.19,16.33,1.62,220.02,21.81,292.51,28.99,342.14,33.91,154.33,15.3,788.98,78.19
M,03JULIO2018,123.99,14.32,6.33,0.73,130.32,15.05,252.61,29.17,332.63,38.41,150.56,17.38,735.8,84.95
MI,04JULIO2018,109.55,13.57,12.34,1.53,121.89,15.09,239.71,29.68,307.52,38.08,138.44,17.14,685.67,84.91
J,05JULIO2018,107.48,13.59,5.79,0.73,113.27,14.33,195.4,24.71,333.68,42.2,148.32,18.76,677.4,85.67
V,06JULIO2018,101.48,12.89,13.97,1.77,115.45,14.66,217.26,27.59,306.14,38.88,148.48,18.86,671.88,85.34
S,07JULIO2018,66.52,9.76,19.4,2.85,85.92,12.6,212.2,31.12,239.0,35.06,144.66,21.22,595.86,87.4
D,08JULIO2018,26.34,10.33,6.37,2.5,32.71,12.83,52.03,20.41,90.11,35.35,80.04,31.4,222.18,87.17
L,09JULIO2018,151.4,15.73,8.74,0.91,160.14,16.63,283.41,29.44,382.84,39.77,136.3,14.16,802.55,83.37
M,10JULIO2018,135.8,14.26,13.2,1.39,149.0,15.64,275.16,28.88,349.8,36.72,178.65,18.75,803.61,84.36
MI,11JULIO2018,111.7,11.91,39.42,4.2,151.12,16.11,268.3,28.61,363.42,38.75,155.1,16.54,786.82,83.89
J,12JULIO2018,103.51,12.3,9.23,1.1,112.74,13.4,219.97,26.15,345.96,41.12,162.62,19.33,728.55,86.6
V,13JULIO2018,124.53,14.84,7.1,0.85,131.63,15.68,242.91,28.94,322.74,38.45,142.05,16.92,707.7,84.32
S,14JULIO2018,51.34,7.54,8.46,1.24,59.8,8.78,212.5,31.2,277.84,40.79,130.92,19.22,621.26,91.22
D,15JULIO2018,49.89,19.46,6.37,2.49,56.26,21.95,36.36,14.18,102.53,40.0,61.18,23.87,200.07,78.05
L,16JULIO2018,150.07,15.38,1.3,0.13,151.37,15.51,294.23,30.15,368.19,37.73,162.18,16.62,824.6,84.49
M,17JULIO2018,104.98,11.69,13.6,1.51,118.58,13.2,261.55,29.12,369.78,41.17,148.19,16.5,779.52,86.8
MI,18JULIO2018,107.33,12.68,10.45,1.23,117.78,13.92,237.72,28.09,338.79,40.03,151.91,17.95,728.42,86.08
J,19JULIO2018,133.65,16.2,8.22,1.0,141.87,17.2,204.42,24.78,326.47,39.57,152.13,18.44,683.02,82.8
V,20JULIO2018,107.98,13.34,9.44,1.17,117.42,14.5,245.32,30.3,298.54,36.87,148.4,18.33,692.26,85.5
S,21JULIO2018,61.11,9.45,6.59,1.02,67.7,10.47,204.37,31.61,250.25,38.7,124.12,19.2,578.74,89.53
D,22JULIO2018,46.52,17.12,7.45,2.74,53.97,19.87,30.63,11.27,120.1,44.21,66.97,24.65,217.7,80.13
L,23JULIO2018,141.07,14.83,9.04,0.95,150.11,15.78,289.48,30.44,364.59,38.34,146.8,15.44,800.87,84.22
M,24JULIO2018,97.88,11.4,9.12,1.06,107.0,12.47,259.98,30.29,342.28,39.88,149.02,17.36,751.28,87.53
MI,25JULIO2018,119.17,14.28,10.35,1.24,129.52,15.52,237.52,28.46,320.76,38.44,146.66,17.58,704.94,84.48
J,26JULIO2018,98.49,13.26,11.23,1.51,109.72,14.77,187.23,25.2,313.17,42.16,132.77,17.87,633.17,85.23
V,27JULIO2018,125.36,16.02,7.37,0.94,132.73,16.97,224.19,28.66,289.34,36.98,136.03,17.39,649.56,83.03
S,28JULIO2018,54.63,8.56,6.07,0.95,60.7,9.51,195.13,30.56,248.92,38.98,133.8,20.95,577.85,90.49
D,29JULIO2018,43.59,17.21,7.74,3.06,51.33,20.26,48.81,19.27,88.02,34.75,65.16,25.72,201.99,79.74
L,30JULIO2018,134.25,14.33,7.92,0.85,142.17,15.17,275.44,29.4,376.25,40.16,143.09,15.27,794.78,84.83
M,31JULIO2018,113.92,13.46,14.88,1.76,128.8,15.22,248.34,29.34,322.09,38.06,147.08,17.38,717.51,84.78
