Dia,Fecha,Ayuntamiento,Mec_A,Mec_B,Mec_C,Mec_D,Com_A,Com_B,Com_C,Com_D,Con_A,Con_B,Con_C,Con_D,Total_General
L,01ENERO2018,47.64,12.14,1.85,0.47,49.49,12.61,188.18,47.96,113.0,28.8,41.7,10.63,342.88,87.39
M,02ENERO2018,106.61,14.13,14.05,1.86,120.66,15.99,196.51,26.05,301.47,39.95,135.72,17.99,633.7,84.01
MI,03ENERO2018,103.7,12.91,6.54,0.81,110.24,13.72,241.92,30.12,296.48,36.91,154.68,19.25,693.08,86.28
J,04ENERO2018,70.07,10.55,4.08,0.61,74.15,11.16,183.15,27.57,281.79,42.42,125.14,18.84,590.08,88.84
V,05ENERO2018,100.38,14.25,7.89,1.12,108.27,15.37,202.19,28.7,254.47,36.12,135.58,19.24,592.24,84.63
S,06ENERO2018,43.19,8.14,9.8,1.85,52.99,9.99,164.36,30.99,198.44,37.41,114.5,21.61,477.4,90.01
D,07ENERO2018,86.65,35.47,1.8,0.74,88.45,36.21,33.79,13.83,61.91,25.35,60.12,24.61,155.82,63.79
L,08ENERO2018,97.46,11.27,9.42,1.09,106.88,12.35,269.64,31.16,318.87,36.85,169.84,19.63,758.25,87.65
M,09ENERO2018,97.05,12.14,4.72,0.59,101.77,12.73,235.25,29.42,315.62,39.47,147.02,18.39,697.89,87.27
MI,10ENERO2018,102.12,13.55,2.81,0.37,104.93,13.93,222.51,29.53,281.38,37.35,144.62,19.19,648.51,86.07
J,11ENERO2018,90.06,12.89,20.51,2.94,110.57,15.83,180.3,25.81,250.26,35.83,147.39,21.08,587.95,84.17
V,12ENERO2018,95.49,13.02,18.07,2.46,113.56,15.49,207.7,28.34,245.14,33.43,166.94,22.75,619.77,84.51
S,13ENERO2018,70.89,11.92,3.3,0.56,74.19,12.48,167.6,28.19,209.85,35.3,142.91,24.04,520.36,87.52
D,14ENERO2018,48.85,22.35,4.47,2.05,53.32,24.39,46.43,21.24,63.58,29.09,55.24,25.27,165.25,75.61
L,15ENERO2018,108.46,12.51,14.77,1.7,123.23,14.22,267.81,30.9,313.39,36.16,162.31,18.73,743.51,85.78
M,16ENERO2018,90.78,11.26,3.96,0.49,94.74,11.75,235.99,29.27,315.54,39.14,160.02,19.85,711.55,88.25
MI,17ENERO2018,93.64,13.11,6.42,0.9,100.06,14.01,202.57,28.36,269.88,37.78,142.88,20.0,615.33,85.99
J,18ENERO2018,79.05,11.84,6.58,0.99,85.63,12.82,168.06,25.12,264.79,39.64,149.32,22.31,582.17,87.18
V,19ENERO2018,88.98,13.17,4.54,0.67,93.52,13.84,205.42,30.41,233.66,34.59,142.79,21.14,581.87,86.16
S,20ENERO2018,48.48,8.96,2.99,0.55,51.47,9.52,173.47,32.08,182.96,33.83,132.89,24.57,489.32,90.48
D,21ENERO2018,62.85,27.88,6.93,3.07,69.78,30.95,33.07,14.67,68.5,30.38,54.12,24.0,155.69,69.05
L,22ENERO2018,89.67,10.79,7.54,0.91,97.21,11.7,257.63,31.0,315.72,38.01,160.47,19.31,733.82,88.3
M,23ENERO2018,118.84,15.45,6.43,0.84,125.27,16.29,227.72,29.61,282.51,36.74,133.56,17.37,643.79,83.71
MI,24ENERO2018,96.64,13.51,6.84,0.96,103.48,14.46,205.81,28.76,258.55,36.14,147.67,20.64,612.03,85.54
J,25ENERO2018,77.73,11.23,12.89,1.86,90.62,13.09,170.08,24.57,275.72,39.83,155.86,22.51,601.67,86.91
V,26ENERO2018,79.38,12.34,5.33,0.83,84.71,13.34,196.42,30.92,215.16,33.87,138.89,21.87,550.47,86.66
S,27ENERO2018,58.01,10.65,3.19,0.59,61.2,11.24,184.54,33.89,186.32,34.21,112.19,20.6,483.05,88.76
D,28ENERO2018,46.38,22.0,3.62,1.72,50.0,23.71,30.85,14.63,54.7,25.94,75.31,35.72,160.86,76.29
L,29ENERO2018,83.85,9.11,6.8,0.74,90.65,9.85,284.22,30.89,315.35,34.27,230.0,24.99,829.57,90.15
M,30ENERO2018,103.35,12.52,10.62,1.29,113.97,13.81,234.27,28.38,317.4,38.45,159.75,19.35,711.42,86.19
MI,31ENERO2018,101.91,12.74,9.59,1.2,111.5,13.94,230.98,28.87,294.94,36.87,162.48,20.31,688.4,86.06
