DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
V,01/SEPTIEMBRE/2023,65.34,8.71%,,0.00%,65.34,8.71%,313.16,41.77%,371.27,49.52%,684.43,91.29%,749.77
S,02/SEPTIEMBRE/2023,68.93,10.87%,,0.00%,68.93,10.87%,246.44,38.88%,318.53,50.25%,564.97,89.13%,633.90
D,03/SEPTIEMBRE/2023,45.77,20.97%,,0.00%,45.77,20.97%,53.24,24.39%,119.30,54.65%,172.54,79.03%,218.31
L,04/SEPTIEMBRE/2023,63.05,7.95%,,0.00%,63.05,7.95%,305.95,38.56%,424.43,53.49%,730.38,92.05%,793.43
M,05/SEPTIEMBRE/2023,81.16,10.34%,,0.00%,81.16,10.34%,299.05,38.10%,404.66,51.56%,703.71,89.66%,784.87
MI,06/SEPTIEMBRE/2023,62.29,7.60%,,0.00%,62.29,7.60%,324.06,39.55%,432.92,52.84%,756.98,92.40%,819.27
J,07/SEPTIEMBRE/2023,67.21,8.34%,,0.00%,67.21,8.34%,302.99,37.59%,435.87,54.07%,738.86,91.66%,806.07
V,08/SEPTIEMBRE/2023,58.24,7.57%,,0.00%,58.24,7.57%,306.39,39.83%,404.59,52.60%,710.98,92.43%,769.22
S,09/SEPTIEMBRE/2023,58.42,8.99%,,0.00%,58.42,8.99%,273.43,42.07%,318.04,48.94%,591.47,91.01%,649.89
D,10/SEPTIEMBRE/2023,36.18,17.36%,,0.00%,36.18,17.36%,41.13,19.73%,131.12,62.91%,172.25,82.64%,208.43
L,11/SEPTIEMBRE/2023,79.95,9.61%,,0.00%,79.95,9.61%,315.16,37.89%,436.71,52.50%,751.87,90.39%,831.82
M,12/SEPTIEMBRE/2023,57.37,7.56%,,0.00%,57.37,7.56%,274.07,36.12%,427.35,56.32%,701.42,92.44%,758.79
MI,13/SEPTIEMBRE/2023,57.83,7.32%,,0.00%,57.83,7.32%,307.56,38.92%,424.88,53.76%,732.44,92.68%,790.27
J,14/SEPTIEMBRE/2023,38.53,6.08%,,0.00%,38.53,6.08%,279.89,44.19%,315.02,49.73%,594.91,93.92%,633.44
V,15/SEPTIEMBRE/2023,38.57,4.92%,4.40,0.56%,42.97,5.48%,300.82,38.38%,439.99,56.14%,740.81,94.52%,783.78
S,16/SEPTIEMBRE/2023,57.32,9.63%,,0.00%,57.32,9.63%,251.41,42.26%,286.20,48.11%,537.61,90.37%,594.93
D,17/SEPTIEMBRE/2023,42.25,18.09%,,0.00%,42.25,18.09%,66.26,28.37%,125.03,53.54%,191.29,81.91%,233.54
L,18/SEPTIEMBRE/2023,54.49,7.29%,,0.00%,54.49,7.29%,284.88,38.09%,408.49,54.62%,693.37,92.71%,747.86
M,19/SEPTIEMBRE/2023,63.61,7.74%,3.76,0.46%,67.37,8.20%,316.59,38.54%,437.59,53.26%,754.18,91.80%,821.55
MI,20/SEPTIEMBRE/2023,52.87,6.98%,,0.00%,52.87,6.98%,275.68,36.40%,428.74,56.62%,704.42,93.02%,757.29
J,21/SEPTIEMBRE/2023,67.23,9.06%,,0.00%,67.23,9.06%,319.39,43.03%,355.70,47.92%,675.09,90.94%,742.32
V,22/SEPTIEMBRE/2023,47.77,6.67%,1.88,0.26%,49.65,6.93%,300.22,41.91%,366.45,51.16%,666.67,93.07%,716.32
S,23/SEPTIEMBRE/2023,48.99,7.85%,1.62,0.26%,50.61,8.11%,268.99,43.11%,304.31,48.77%,573.30,91.89%,623.91
D,24/SEPTIEMBRE/2023,30.44,15.00%,,0.00%,30.44,15.00%,41.52,20.47%,130.91,64.53%,172.43,85.00%,202.87
L,25/SEPTIEMBRE/2023,63.27,9.10%,,0.00%,63.27,9.10%,266.77,38.36%,365.45,52.55%,632.22,90.90%,695.49
M,26/SEPTIEMBRE/2023,43.86,6.47%,3.98,0.59%,47.84,7.06%,240.93,35.56%,388.68,57.37%,629.61,92.94%,677.45
MI,27/SEPTIEMBRE/2023,30.89,4.47%,1.07,0.15%,31.96,4.62%,263.24,38.07%,396.34,57.31%,659.58,95.38%,691.54
J,28/SEPTIEMBRE/2023,41.44,5.83%,,0.00%,41.44,5.83%,303.57,42.73%,365.44,51.44%,669.01,94.17%,710.45
V,29/SEPTIEMBRE/2023,51.63,7.14%,,0.00%,51.63,7.14%,278.52,38.50%,393.27,54.36%,671.79,92.86%,723.42
S,30/SEPTIEMBRE/2023,36.79,6.43%,,0.00%,36.79,6.43%,232.82,40.66%,302.95,52.91%,535.77,93.57%,572.56
,,,,,,,,,,,,,,
