DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
MI,01/NOVIEMBRE/2023,50.50,7.29%,2.37,0.34%,52.87,7.64%,279.19,40.33%,360.22,52.03%,639.41,92.36%,692.28
J,02/NOVIEMBRE/2023,52.61,7.35%,3.12,0.44%,55.73,7.78%,276.80,38.67%,383.36,53.55%,660.16,92.22%,715.89
V,03/NOVIEMBRE/2023,41.18,5.79%,2.83,0.40%,44.01,6.19%,287.00,40.34%,380.45,53.47%,667.45,93.81%,711.46
S,04/NOVIEMBRE/2023,60.77,9.83%,4.15,0.67%,64.92,10.50%,253.09,40.95%,300.00,48.54%,553.09,89.50%,618.01
D,05/NOVIEMBRE/2023,32.06,17.29%,,0.00%,32.06,17.29%,53.49,28.85%,99.88,53.86%,153.37,82.71%,185.43
L,06/NOVIEMBRE/2023,32.42,5.10%,,0.00%,32.42,5.10%,242.98,38.25%,359.92,56.65%,602.90,94.90%,635.32
M,07/NOVIEMBRE/2023,42.85,6.25%,,0.00%,42.85,6.25%,260.49,37.98%,382.50,55.77%,642.99,93.75%,685.84
MI,08/NOVIEMBRE/2023,46.38,6.51%,,0.00%,46.38,6.51%,265.05,37.20%,401.01,56.29%,666.06,93.49%,712.44
J,09/NOVIEMBRE/2023,40.50,6.08%,,0.00%,40.50,6.08%,267.07,40.12%,358.06,53.79%,625.13,93.92%,665.63
V,10/NOVIEMBRE/2023,43.49,6.19%,4.59,0.65%,48.08,6.84%,270.03,38.41%,384.99,54.76%,655.02,93.16%,703.10
S,11/NOVIEMBRE/2023,43.14,7.44%,5.46,0.94%,48.60,8.39%,231.65,39.97%,299.33,51.65%,530.98,91.61%,579.58
D,12/NOVIEMBRE/2023,40.34,18.57%,,0.00%,40.34,18.57%,72.82,33.52%,104.07,47.91%,176.89,81.43%,217.23
L,13/NOVIEMBRE/2023,42.24,6.17%,,0.00%,42.24,6.17%,284.99,41.61%,357.75,52.23%,642.74,93.83%,684.98
M,14/NOVIEMBRE/2023,52.60,6.85%,2.82,0.37%,55.42,7.22%,282.40,36.78%,430.02,56.00%,712.42,92.78%,767.84
MI,15/NOVIEMBRE/2023,41.96,5.89%,,0.00%,41.96,5.89%,281.83,39.54%,388.90,54.57%,670.73,94.11%,712.69
J,16/NOVIEMBRE/2023,49.80,7.55%,3.67,0.56%,53.47,8.10%,242.24,36.71%,364.08,55.18%,606.32,91.90%,659.79
V,17/NOVIEMBRE/2023,50.82,6.87%,,0.00%,50.82,6.87%,283.57,38.33%,405.39,54.80%,688.96,93.13%,739.78
S,18/NOVIEMBRE/2023,45.40,7.70%,3.48,0.59%,48.88,8.29%,247.06,41.91%,293.62,49.80%,540.68,91.71%,589.56
D,19/NOVIEMBRE/2023,29.96,12.72%,,0.00%,29.96,12.72%,71.33,30.28%,134.29,57.00%,205.62,87.28%,235.58
L,20/NOVIEMBRE/2023,42.64,5.42%,,0.00%,42.64,5.42%,352.02,44.77%,391.64,49.81%,743.66,94.58%,786.30
M,21/NOVIEMBRE/2023,73.81,9.45%,,0.00%,73.81,9.45%,280.75,35.95%,426.34,54.60%,707.09,90.55%,780.90
MI,22/NOVIEMBRE/2023,49.97,6.76%,5.47,0.74%,55.44,7.50%,298.78,40.40%,385.25,52.10%,684.03,92.50%,739.47
J,23/NOVIEMBRE/2023,42.85,5.98%,,0.00%,42.85,5.98%,309.09,42.32%,370.32,51.70%,673.41,94.02%,716.26
V,24/NOVIEMBRE/2023,47.79,6.75%,,0.00%,47.79,6.75%,269.37,38.06%,390.59,55.19%,659.96,93.25%,707.75
S,25/NOVIEMBRE/2023,56.07,9.03%,5.19,0.84%,61.26,9.87%,267.83,43.15%,291.63,46.98%,559.46,90.13%,620.72
D,26/NOVIEMBRE/2023,29.64,14.67%,,0.00%,29.64,14.67%,60.10,29.75%,112.29,55.58%,172.39,85.33%,202.03
L,27/NOVIEMBRE/2023,77.23,9.66%,1.65,0.21%,78.88,9.86%,315.94,39.51%,404.84,50.63%,720.78,90.14%,799.66
M,28/NOVIEMBRE/2023,39.20,5.34%,,0.00%,39.20,5.34%,308.81,42.04%,386.63,52.63%,695.44,94.66%,734.64
MI,29/NOVIEMBRE/2023,35.22,4.71%,1.29,0.17%,36.51,4.88%,307.47,41.11%,404.01,54.01%,711.48,95.12%,747.99
J,30/NOVIEMBRE/2023,50.63,7.01%,,0.00%,50.63,7.01%,291.14,40.33%,380.06,52.65%,671.20,92.99%,721.83
,,,,,,,,,,,,,,
