DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
MI,01/DICIEMBRE/2021,54.28,7.57%,3.59,0.50%,57.87,8.07%,285.84,39.85%,373.54,52.08%,659.38,91.93%,717.25
J,02/DICIEMBRE/2021,57.21,8.32%,-,0.00%,57.21,8.32%,268.76,39.11%,361.24,52.57%,630.00,91.68%,687.21
V,03/DICIEMBRE/2021,56.58,7.64%,-,0.00%,56.58,7.64%,305.58,41.24%,378.74,51.12%,684.32,92.36%,740.90
S,04/DICIEMBRE/2021,53.35,8.57%,-,0.00%,53.35,8.57%,266.40,42.80%,302.69,48.63%,569.09,91.43%,622.44
D,05/DICIEMBRE/2021,27.20,12.01%,2.36,1.04%,29.56,13.05%,84.15,37.14%,112.85,49.81%,197.00,86.95%,226.56
L,06/DICIEMBRE/2021,54.57,7.22%,-,0.00%,54.57,7.22%,290.19,38.42%,410.64,54.36%,700.83,92.78%,755.40
M,07/DICIEMBRE/2021,75.20,8.77%,-,0.00%,75.20,8.77%,360.11,42.00%,422.18,49.23%,782.29,91.23%,857.49
MI,08/DICIEMBRE/2021,55.25,7.56%,-,0.00%,55.25,7.56%,311.15,42.59%,364.09,49.84%,675.24,92.44%,730.49
J,09/DICIEMBRE/2021,47.64,6.89%,2.79,0.40%,50.43,7.29%,260.72,37.69%,380.57,55.02%,641.29,92.71%,691.72
V,10/DICIEMBRE/2021,64.86,8.80%,2.16,0.29%,67.02,9.10%,274.64,37.28%,395.06,53.62%,669.70,90.90%,736.72
S,11/DICIEMBRE/2021,38.97,6.20%,-,0.00%,38.97,6.20%,274.98,43.75%,314.57,50.05%,589.55,93.80%,628.52
D,12/DICIEMBRE/2021,13.43,6.42%,-,0.00%,13.43,6.42%,91.97,43.98%,103.71,49.60%,195.68,93.58%,209.11
L,13/DICIEMBRE/2021,52.96,6.95%,-,0.00%,52.96,6.95%,293.92,38.55%,415.46,54.50%,709.38,93.05%,762.34
M,14/DICIEMBRE/2021,73.87,8.93%,-,0.00%,73.87,8.93%,324.91,39.29%,428.11,51.77%,753.02,91.07%,826.89
MI,15/DICIEMBRE/2021,70.37,8.65%,-,0.00%,70.37,8.65%,308.24,37.90%,434.72,53.45%,742.96,91.35%,813.33
J,16/DICIEMBRE/2021,68.36,9.65%,3.70,0.52%,72.06,10.17%,267.99,37.82%,368.53,52.01%,636.52,89.83%,708.58
V,17/DICIEMBRE/2021,65.04,8.70%,1.72,0.23%,66.76,8.93%,292.72,39.15%,388.15,51.92%,680.87,91.07%,747.63
S,18/DICIEMBRE/2021,42.91,6.60%,-,0.00%,42.91,6.60%,273.98,42.14%,333.28,51.26%,607.26,93.40%,650.17
D,19/DICIEMBRE/2021,30.87,12.69%,-,0.00%,30.87,12.69%,86.67,35.62%,125.80,51.70%,212.47,87.31%,243.34
L,20/DICIEMBRE/2021,58.39,7.96%,1.58,0.22%,59.97,8.17%,256.56,34.97%,417.16,56.86%,673.72,91.83%,733.69
M,21/DICIEMBRE/2021,75.92,8.95%,-,0.00%,75.92,8.95%,317.13,37.38%,455.40,53.67%,772.53,91.05%,848.45
MI,22/DICIEMBRE/2021,61.85,7.48%,-,0.00%,61.85,7.48%,331.49,40.08%,433.76,52.44%,765.25,92.52%,827.10
J,23/DICIEMBRE/2021,62.14,8.42%,-,0.00%,62.14,8.42%,296.11,40.12%,379.81,51.46%,675.92,91.58%,738.06
V,24/DICIEMBRE/2021,44.65,6.51%,-,0.00%,44.65,6.51%,246.74,35.95%,394.89,57.54%,641.63,93.49%,686.28
S,25/DICIEMBRE/2021,48.11,9.52%,-,0.00%,48.11,9.52%,203.33,40.22%,254.10,50.26%,457.43,90.48%,505.54
D,26/DICIEMBRE/2021,36.22,16.23%,-,0.00%,36.22,16.23%,77.91,34.91%,109.05,48.86%,186.96,83.77%,223.18
L,27/DICIEMBRE/2021,56.49,8.06%,2.56,0.37%,59.05,8.42%,260.57,37.16%,381.63,54.42%,642.20,91.58%,701.25
M,28/DICIEMBRE/2021,46.62,5.73%,-,0.00%,46.62,5.73%,328.55,40.39%,438.20,53.87%,766.75,94.27%,813.37
MI,29/DICIEMBRE/2021,55.60,7.27%,-,0.00%,55.60,7.27%,300.70,39.30%,408.88,53.44%,709.58,92.73%,765.18
J,30/DICIEMBRE/2021,64.02,8.48%,7.08,0.94%,71.10,9.42%,302.10,40.01%,381.86,50.57%,683.96,90.58%,755.06
J,31/DICIEMBRE/2020,43.69,6.64%,0.66,0.10%,44.35,6.74%,260.46,39.60%,352.99,53.66%,613.45,93.26%,657.80
