DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
MI,01/MARZO/2023,49.18,6.52%,,0.00%,49.18,6.52%,321.02,42.53%,384.62,50.95%,705.64,93.48%,754.82
J,02/MARZO/2023,47.12,6.78%,,0.00%,47.12,6.78%,297.29,42.80%,350.23,50.42%,647.52,93.22%,694.64
V,03/MARZO/2023,34.90,4.73%,,0.00%,34.90,4.73%,322.61,43.69%,380.97,51.59%,703.58,95.27%,738.48
S,04/MARZO/2023,36.88,6.07%,,0.00%,36.88,6.07%,298.58,49.14%,272.18,44.79%,570.76,93.93%,607.64
D,05/MARZO/2023,25.90,13.63%,,0.00%,25.90,13.63%,65.46,34.44%,98.69,51.93%,164.15,86.37%,190.05
L,06/MARZO/2023,37.56,4.89%,,0.00%,37.56,4.89%,344.84,44.86%,386.34,50.26%,731.18,95.11%,768.74
M,07/MARZO/2023,32.92,4.58%,,0.00%,32.92,4.58%,297.57,41.43%,387.76,53.99%,685.33,95.42%,718.25
MI,08/MARZO/2023,45.91,6.06%,,0.00%,45.91,6.06%,334.02,44.13%,377.04,49.81%,711.06,93.94%,756.97
J,09/MARZO/2023,57.38,7.68%,,0.00%,57.38,7.68%,294.06,39.35%,395.76,52.97%,689.82,92.32%,747.20
V,10/MARZO/2023,42.06,5.56%,,0.00%,42.06,5.56%,315.07,41.68%,398.71,52.75%,713.78,94.44%,755.84
S,11/MARZO/2023,36.49,5.95%,,0.00%,36.49,5.95%,279.64,45.58%,297.40,48.47%,577.04,94.05%,613.53
D,12/MARZO/2023,36.66,19.83%,,0.00%,36.66,19.83%,58.11,31.43%,90.13,48.75%,148.24,80.17%,184.90
L,13/MARZO/2023,70.13,8.58%,,0.00%,70.13,8.58%,344.73,42.18%,402.35,49.23%,747.08,91.42%,817.21
M,14/MARZO/2023,63.43,7.95%,4.21,0.53%,67.64,8.48%,322.68,40.46%,407.16,51.06%,729.84,91.52%,797.48
MI,15/MARZO/2023,49.02,7.04%,,0.00%,49.02,7.04%,284.64,40.90%,362.29,52.06%,646.93,92.96%,695.95
J,16/MARZO/2023,57.55,8.17%,,0.00%,57.55,8.17%,296.95,42.14%,350.17,49.69%,647.12,91.83%,704.67
V,17/MARZO/2023,65.13,8.27%,6.30,0.80%,71.43,9.07%,329.55,41.83%,386.87,49.10%,716.42,90.93%,787.85
S,18/MARZO/2023,55.10,8.37%,,0.00%,55.10,8.37%,318.86,48.46%,284.04,43.17%,602.90,91.63%,658.00
D,19/MARZO/2023,27.43,15.04%,,0.00%,27.43,15.04%,67.76,37.14%,87.24,47.82%,155.00,84.96%,182.43
L,20/MARZO/2023,47.89,5.88%,,0.00%,47.89,5.88%,361.60,44.41%,404.70,49.71%,766.30,94.12%,814.19
M,21/MARZO/2023,68.31,8.98%,,0.00%,68.31,8.98%,286.02,37.61%,406.19,53.41%,692.21,91.02%,760.52
MI,22/MARZO/2023,60.39,8.36%,2.18,0.30%,62.57,8.66%,294.87,40.80%,365.28,50.54%,660.15,91.34%,722.72
J,23/MARZO/2023,53.48,6.92%,,0.00%,53.48,6.92%,352.69,45.62%,366.95,47.46%,719.64,93.08%,773.12
V,24/MARZO/2023,65.84,9.15%,,0.00%,65.84,9.15%,297.19,41.31%,356.37,49.54%,653.56,90.85%,719.40
S,25/MARZO/2023,49.38,8.54%,,0.00%,49.38,8.54%,250.60,43.35%,278.17,48.11%,528.77,91.46%,578.15
D,26/MARZO/2023,35.49,17.62%,,0.00%,35.49,17.62%,70.50,35.01%,95.39,47.37%,165.89,82.38%,201.38
L,27/MARZO/2023,76.04,10.48%,2.50,0.34%,78.54,10.82%,276.34,38.08%,370.74,51.09%,647.08,89.18%,725.62
M,28/MARZO/2023,57.13,7.54%,4.07,0.54%,61.20,8.08%,319.26,42.13%,377.41,49.80%,696.67,91.92%,757.87
MI,29/MARZO/2023,69.59,10.08%,,0.00%,69.59,10.08%,280.21,40.60%,340.34,49.31%,620.55,89.92%,690.14
J,30/MARZO/2023,49.80,7.39%,,0.00%,49.80,7.39%,281.41,41.73%,343.09,50.88%,624.50,92.61%,674.30
V,31/MARZO/2023,41.32,6.21%,1.73,0.26%,43.05,6.47%,286.01,42.96%,336.71,50.57%,622.72,93.53%,665.77
