DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
J,01/ABRIL/2021,95.74,13.27%,4.63,0.64%,100.37,13.91%,320.78,44.45%,300.54,41.64%,621.32,86.09%,721.69
V,02/ABRIL/2021,51.54,12.62%,-,0.00%,51.54,12.62%,200.65,49.13%,156.24,38.25%,356.89,87.38%,408.43
S,03/ABRIL/2021,35.08,7.24%,7.81,1.61%,42.89,8.85%,182.17,37.57%,259.78,53.58%,441.95,91.15%,484.84
D,04/ABRIL/2021,45.08,18.95%,-,0.00%,45.08,18.95%,91.47,38.46%,101.29,42.59%,192.76,81.05%,237.84
L,05/ABRIL/2021,73.42,10.32%,1.86,0.26%,75.28,10.59%,300.20,42.21%,335.71,47.20%,635.91,89.41%,711.19
M,06/ABRIL/2021,83.27,10.81%,6.13,0.80%,89.40,11.60%,322.58,41.87%,358.38,46.52%,680.96,88.40%,770.36
MI,07/ABRIL/2021,114.15,14.80%,5.12,0.66%,119.27,15.46%,347.99,45.17%,347.86,45.15%,695.85,90.33%,815.12
J,08/ABRIL/2021,86.15,13.06%,3.48,0.53%,89.63,13.59%,272.55,41.32%,297.36,45.09%,569.91,86.41%,659.54
V,09/ABRIL/2021,96.13,13.24%,3.78,0.52%,99.91,13.76%,278.08,38.30%,348.09,47.94%,626.17,86.24%,726.08
S,10/ABRIL/2021,70.50,11.58%,5.09,0.84%,75.59,12.41%,256.54,42.12%,276.93,45.47%,533.47,87.59%,609.06
D,11/ABRIL/2021,51.88,19.87%,-,0.00%,51.88,19.87%,115.57,44.26%,93.64,35.87%,209.21,80.13%,261.09
L,12/ABRIL/2021,106.36,12.84%,1.69,0.20%,108.05,13.04%,358.03,43.21%,362.55,43.75%,720.58,86.96%,828.63
M,13/ABRIL/2021,93.94,11.91%,2.50,0.32%,96.44,12.23%,305.03,38.67%,387.39,49.11%,692.42,87.77%,788.86
MI,14/ABRIL/2021,80.15,10.48%,1.43,0.19%,81.58,10.67%,324.45,42.43%,358.66,46.90%,683.11,89.33%,764.69
J,15/ABRIL/2021,78.91,10.49%,3.07,0.41%,81.98,10.90%,328.99,43.74%,341.15,45.36%,670.14,89.10%,752.12
V,16/ABRIL/2021,80.38,11.01%,13.89,1.90%,94.27,12.91%,306.05,41.91%,330.02,45.19%,636.07,87.09%,730.34
S,17/ABRIL/2021,58.98,9.09%,1.66,0.26%,60.64,9.34%,305.71,47.11%,282.64,43.55%,588.35,90.66%,648.99
D,18/ABRIL/2021,51.61,20.17%,-,0.00%,51.61,20.17%,104.34,40.78%,99.92,39.05%,204.26,79.83%,255.87
L,19/ABRIL/2021,75.43,9.55%,8.95,1.13%,84.38,10.68%,337.36,42.72%,367.97,46.60%,705.33,89.32%,789.71
M,20/ABRIL/2021,81.45,9.88%,3.26,0.40%,84.71,10.27%,342.37,41.51%,397.62,48.21%,739.99,89.73%,824.70
MI,21/ABRIL/2021,98.65,11.80%,33.99,4.07%,132.64,15.87%,329.77,39.46%,373.35,44.67%,703.12,84.13%,835.76
J,22/ABRIL/2021,88.55,12.39%,5.82,0.81%,94.37,13.20%,303.98,42.53%,316.43,44.27%,620.41,86.80%,714.78
V,23/ABRIL/2021,89.36,12.44%,1.43,0.20%,90.79,12.64%,288.36,40.14%,339.16,47.22%,627.52,87.36%,718.31
S,24/ABRIL/2021,76.49,11.47%,-,0.00%,76.49,11.47%,280.05,42.01%,310.14,46.52%,590.19,88.53%,666.68
D,25/ABRIL/2021,61.70,20.49%,3.32,1.10%,65.02,21.59%,107.65,35.75%,128.45,42.66%,236.10,78.41%,301.12
L,26/ABRIL/2021,93.19,11.41%,2.98,0.36%,96.17,11.77%,356.68,43.66%,364.07,44.57%,720.75,88.23%,816.92
M,27/ABRIL/2021,99.57,11.66%,3.82,0.45%,103.39,12.10%,350.27,41.01%,400.52,46.89%,750.79,87.90%,854.18
MI,28/ABRIL/2021,91.66,11.46%,4.38,0.55%,96.04,12.00%,319.86,39.98%,384.24,48.02%,704.10,88.00%,800.14
J,29/ABRIL/2021,96.44,12.36%,6.09,0.78%,102.53,13.15%,330.51,42.37%,346.94,44.48%,677.45,86.85%,779.98
V,30/ABRIL/2021,81.10,10.72%,2.15,0.28%,83.25,11.01%,330.52,43.71%,342.44,45.28%,672.96,88.99%,756.21
