DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
M,01/AGOSTO/2023,70.42,8.69%,,0.00%,70.42,8.69%,320.78,39.58%,419.30,51.73%,740.08,91.31%,810.50
MI,02/AGOSTO/2023,51.58,7.10%,,0.00%,51.58,7.10%,296.40,40.79%,378.59,52.11%,674.99,92.90%,726.57
J,03/AGOSTO/2023,69.99,9.34%,,0.00%,69.99,9.34%,283.79,37.89%,395.21,52.77%,679.00,90.66%,748.99
V,04/AGOSTO/2023,42.99,5.83%,,0.00%,42.99,5.83%,292.50,39.67%,401.86,54.50%,694.36,94.17%,737.35
S,05/AGOSTO/2023,56.60,9.41%,,0.00%,56.60,9.41%,234.59,39.01%,310.24,51.58%,544.83,90.59%,601.43
D,06/AGOSTO/2023,59.17,25.31%,,0.00%,59.17,25.31%,70.47,30.15%,104.11,44.54%,174.58,74.69%,233.75
L,07/AGOSTO/2023,67.58,8.26%,,0.00%,67.58,8.26%,337.30,41.23%,413.23,50.51%,750.53,91.74%,818.11
M,08/AGOSTO/2023,65.27,7.79%,,0.00%,65.27,7.79%,326.99,39.01%,446.05,53.21%,773.04,92.21%,838.31
MI,09/AGOSTO/2023,48.41,6.44%,,0.00%,48.41,6.44%,286.29,38.08%,417.07,55.48%,703.36,93.56%,751.77
J,10/AGOSTO/2023,49.83,6.31%,,0.00%,49.83,6.31%,313.29,39.64%,427.15,54.05%,740.44,93.69%,790.27
V,11/AGOSTO/2023,40.02,5.12%,,0.00%,40.02,5.12%,310.95,39.81%,430.15,55.07%,741.10,94.88%,781.12
S,12/AGOSTO/2023,60.32,9.57%,,0.00%,60.32,9.57%,267.30,42.40%,302.82,48.03%,570.12,90.43%,630.44
D,13/AGOSTO/2023,27.70,14.74%,,0.00%,27.70,14.74%,59.34,31.57%,100.90,53.69%,160.24,85.26%,187.94
L,14/AGOSTO/2023,52.23,6.58%,,0.00%,52.23,6.58%,316.81,39.94%,424.15,53.47%,740.96,93.42%,793.19
M,15/AGOSTO/2023,59.82,7.47%,,0.00%,59.82,7.47%,323.14,40.34%,418.05,52.19%,741.19,92.53%,801.01
MI,16/AGOSTO/2023,30.11,4.57%,,0.00%,30.11,4.57%,276.54,41.96%,352.42,53.47%,628.96,95.43%,659.07
J,17/AGOSTO/2023,39.41,5.81%,,0.00%,39.41,5.81%,285.07,42.05%,353.50,52.14%,638.57,94.19%,677.98
V,18/AGOSTO/2023,54.65,7.57%,,0.00%,54.65,7.57%,287.67,39.86%,379.43,52.57%,667.10,92.43%,721.75
S,19/AGOSTO/2023,54.78,8.74%,,0.00%,54.78,8.74%,259.79,41.45%,312.22,49.81%,572.01,91.26%,626.79
D,20/AGOSTO/2023,51.37,22.40%,,0.00%,51.37,22.40%,88.45,38.57%,89.48,39.02%,177.93,77.60%,229.30
L,21/AGOSTO/2023,52.78,6.43%,,0.00%,52.78,6.43%,349.46,42.56%,418.92,51.02%,768.38,93.57%,821.16
M,22/AGOSTO/2023,49.95,6.79%,,0.00%,49.95,6.79%,283.07,38.50%,402.30,54.71%,685.37,93.21%,735.32
MI,23/AGOSTO/2023,27.75,4.95%,,0.00%,27.75,4.95%,252.60,45.10%,279.73,49.94%,532.33,95.05%,560.08
J,24/AGOSTO/2023,63.92,7.91%,,0.00%,63.92,7.91%,319.66,39.56%,424.48,52.53%,744.14,92.09%,808.06
V,25/AGOSTO/2023,43.67,5.70%,,0.00%,43.67,5.70%,317.55,41.41%,405.58,52.89%,723.13,94.30%,766.80
S,26/AGOSTO/2023,57.70,8.64%,,0.00%,57.70,8.64%,272.42,40.78%,337.91,50.58%,610.33,91.36%,668.03
D,27/AGOSTO/2023,41.77,17.87%,,0.00%,41.77,17.87%,69.82,29.87%,122.14,52.26%,191.96,82.13%,233.73
L,28/AGOSTO/2023,41.03,5.55%,,0.00%,41.03,5.55%,299.26,40.46%,399.36,53.99%,698.62,94.45%,739.65
M,29/AGOSTO/2023,82.31,9.96%,,0.00%,82.31,9.96%,326.78,39.53%,417.61,50.52%,744.39,90.04%,826.70
MI,30/AGOSTO/2023,63.17,8.05%,,0.00%,63.17,8.05%,324.26,41.33%,397.16,50.62%,721.42,91.95%,784.59
V,31/AGOSTO/2023,57.19,7.68%,,0.00%,57.19,7.68%,303.35,40.75%,383.96,51.57%,687.31,92.32%,744.50
