AMS,MECANIZADOS,URBALUZ,TOTAL_GENERAL,AYUNTAMIENTO,CONSORCIO,MES_ANIO,LUGAR,TOTAL_PRIVADAS,COMLURSA,LUGAR_ST,SUMA_COMP,ERROR_TOTAL,ERROR_PCT
34,0.0,395,457.0,0.0,0,072025,SANTIAGO,0,28,1,457.0,360.71,0.7892997811816193
39,0.0,299,364.0,0.0,0,072025,SANTIAGO,0,26,1,364.0,268.98,0.738956043956044
26,0.0,102,148.0,0.0,0,072025,SANTIAGO,0,20,1,148.0,57.739999999999995,0.3901351351351351
33,0.0,356,417.0,0.0,0,072025,SANTIAGO,0,28,1,417.0,320.85,0.7694244604316547
41,0.0,354,423.0,0.0,0,072025,SANTIAGO,0,28,1,423.0,327.88,0.775130023640662
0,0.0,0,0.0,0.0,0,012021,SANTIAGO,0,0,1,0.0,0.0,inf
0,0.0,0,0.0,0.0,0,112021,SANTIAGO,0,0,1,0.0,0.0,inf
0,0.0,0,0.0,0.0,0,122023,SANTIAGO,0,0,1,0.0,0.0,inf
0,0.0,0,0.0,0.0,0,022019,SANTIAGO,0,0,1,0.0,0.0,inf
0,24.93,420,485.93,0.0,0,112024,SANTIAGO,0,41,1,485.93,482.63,0.9932088984010042
0,0.0,0,0.0,0.0,0,062021,SANTIAGO,0,0,1,0.0,0.0,inf
0,0.0,0,0.0,0.0,0,022021,SANTIAGO,0,0,1,0.0,777.96,inf
0,0.0,0,0.0,0.0,0,092023,SANTIAGO,0,0,1,0.0,0.0,inf
0,0.0,0,0.0,0.0,0,102021,SANTIAGO,0,0,1,0.0,717.61,inf
0,0.0,0,0.0,0.0,0,112020,SANTIAGO,0,0,1,0.0,222.6,inf
