AMS,MECANIZADOS,URBALUZ,TOTAL_GENERAL,AYUNTAMIENTO,CONSORCIO,MES_ANIO,LUGAR,TOTAL_PRIVADAS,COMLURSA,LUGAR_ST
7,143.08,366,0.0,0.0,0,122024,SANTIAGO,0,56,1
4,308.68,750,39.5,0.0,0,122024,SANTIAGO,0,56,1
5,245.06,606,38.23,0.0,0,122024,SANTIAGO,0,56,1
2,5915.28,4462,30.15,0.0,22,022025,SANTIAGO,0,44,1
4,6852.17,2805,32.53,0.0,13,012025,SANTIAGO,0,49,1
0,0.0,0,614.75,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,274.2,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,774.86,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,792.31,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,788.72,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,725.56,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,715.86,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,690.22,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,258.51,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,882.46,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,849.28,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,818.24,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,696.43,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,696.23,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,748.52,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,798.22,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,242.37,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,695.29,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,730.39,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,741.7,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,711.67,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,756.67,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,331.07,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,1611.98,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,820.71,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,810.38,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,724.74,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,717.02,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,659.69,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,253.36,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,764.31,0.0,0,052021,SANTIAGO,0,0,1
0,0.0,0,,0.0,0,032022,SANTIAGO,0,0,1
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
0,0.0,0,,0.0,0,012025,MOCA,0,0,0
